preprocessing_mode,dataset,baseline_nb_tfidf,hybrid_lr
none,caffe,0.622752,0.788041
none,incubator-mxnet,0.50268,0.843862
none,keras,0.530107,0.855719
none,pytorch,0.529078,0.814273
none,tensorflow,0.627791,0.881841
stopwords_all,caffe,0.607527,0.775404
stopwords_all,incubator-mxnet,0.514363,0.828383
stopwords_all,keras,0.534761,0.843884
stopwords_all,pytorch,0.517543,0.805473
stopwords_all,tensorflow,0.604839,0.884579
stopwords_keep_negation,caffe,0.614342,0.780638
stopwords_keep_negation,incubator-mxnet,0.514088,0.821741
stopwords_keep_negation,keras,0.538994,0.84484
stopwords_keep_negation,pytorch,0.522267,0.80802
stopwords_keep_negation,tensorflow,0.606939,0.883044
lemmatize,caffe,0.624979,0.795038
lemmatize,incubator-mxnet,0.50709,0.841395
lemmatize,keras,0.517679,0.854644
lemmatize,pytorch,0.523093,0.811173
lemmatize,tensorflow,0.624999,0.883307
stopwords_keep_negation+lemmatize,caffe,0.598989,0.783212
stopwords_keep_negation+lemmatize,incubator-mxnet,0.518081,0.822012
stopwords_keep_negation+lemmatize,keras,0.538927,0.8394
stopwords_keep_negation+lemmatize,pytorch,0.520816,0.805755
stopwords_keep_negation+lemmatize,tensorflow,0.602899,0.882377
