seed,model,accuracy,precision_macro,recall_macro,f1_macro,auc,feature_prep_seconds,feature_prep_memory_mb,fit_seconds,fit_memory_mb,predict_seconds,predict_memory_mb,runtime_seconds,peak_python_memory_mb,embedding_dimension,dataset
0,baseline_nb_tfidf,0.8837209302325582,0.6964285714285714,0.5434210526315789,0.5520833333333334,0.5434210526315789,0.22247991600306705,7.389181137084961,0.19640320900361985,11.356779098510742,0.001601250987732783,3.9850502014160156,0.4204843759944197,11.356779098510742,768,caffe
1,baseline_nb_tfidf,0.872093023255814,0.6124497991967871,0.5368421052631579,0.5423318819545235,0.5368421052631579,0.15121441698283888,7.3635101318359375,0.19855133298551664,11.332398414611816,0.0016630410100333393,3.9850502014160156,0.35142879097838886,11.332398414611816,768,caffe
2,baseline_nb_tfidf,0.8837209302325582,0.7012195121951219,0.5868421052631579,0.6112115732368897,0.5868421052631579,0.14991966600064188,7.364330291748047,0.21844062500167638,11.299542427062988,0.006857458007289097,3.9850502014160156,0.37521774900960736,11.299542427062988,768,caffe
3,baseline_nb_tfidf,0.872093023255814,0.6124497991967871,0.5368421052631579,0.5423318819545235,0.5368421052631579,0.13312870799563825,7.354942321777344,0.18604112500906922,11.299942016601562,0.0014794169983360916,3.9850502014160156,0.32064925000304356,11.299942016601562,768,caffe
4,baseline_nb_tfidf,0.8837209302325582,0.6964285714285714,0.5434210526315789,0.5520833333333334,0.5434210526315789,0.1714587080059573,7.362088203430176,0.15348866599379107,11.298768043518066,0.001517666969448328,3.9850502014160156,0.3264650409691967,11.298768043518066,768,caffe
5,baseline_nb_tfidf,0.9418604651162791,0.9691358024691358,0.75,0.8174097664543525,0.75,0.17422433299361728,7.359971046447754,0.19105299998773262,11.297937393188477,0.011296209006104618,3.9850502014160156,0.3765735419874545,11.297937393188477,768,caffe
6,baseline_nb_tfidf,0.9069767441860465,0.8323170731707317,0.6434210526315789,0.6889692585895117,0.643421052631579,0.13930545901530422,7.361037254333496,0.21089270801167004,11.298571586608887,0.0013586659915745258,3.9850502014160156,0.3515568330185488,11.298571586608887,768,caffe
7,baseline_nb_tfidf,0.8837209302325582,0.6964285714285714,0.5434210526315789,0.5520833333333334,0.5434210526315789,0.1516157499863766,7.364442825317383,0.20652691600844264,11.296998023986816,0.0013761239824816585,3.9850502014160156,0.3595187899773009,11.296998023986816,768,caffe
8,baseline_nb_tfidf,0.8837209302325582,0.6964285714285714,0.5434210526315789,0.5520833333333334,0.5434210526315789,0.1525285000097938,7.369739532470703,0.17990262497914955,11.299278259277344,0.0013787909992970526,3.9850502014160156,0.3338099159882404,11.299278259277344,768,caffe
9,baseline_nb_tfidf,0.8604651162790697,0.5701219512195121,0.5302631578947369,0.5334538878842676,0.5302631578947369,0.16336083301575854,7.361723899841309,0.1829514169949107,11.298171043395996,0.0014075410144869238,3.9850502014160156,0.34771979102515616,11.298171043395996,768,caffe
10,baseline_nb_tfidf,0.8837209302325582,0.6964285714285714,0.5434210526315789,0.5520833333333334,0.5434210526315789,0.16086987499147654,7.360661506652832,0.19741445800173096,11.298956871032715,0.0015489159850403666,3.9850502014160156,0.35983324897824787,11.298956871032715,768,caffe
11,baseline_nb_tfidf,0.9069767441860465,0.8323170731707317,0.6434210526315789,0.6889692585895117,0.643421052631579,0.15504837498883717,7.355655670166016,0.19961362500907853,11.29773998260498,0.0014112079807091504,3.9850502014160156,0.35607320797862485,11.29773998260498,768,caffe
12,baseline_nb_tfidf,0.9069767441860465,0.9523809523809523,0.6,0.6416666666666666,0.6,0.15299512501223944,7.36328125,0.1974813749839086,11.29775619506836,0.0013604160048998892,3.9850502014160156,0.35183691600104794,11.29775619506836,768,caffe
13,baseline_nb_tfidf,0.8953488372093024,0.785140562248996,0.593421052631579,0.625544267053701,0.5934210526315788,0.15380404199822806,7.362425804138184,0.17758079199120402,11.300342559814453,0.0014705409994348884,3.9850502014160156,0.33285537498886697,11.300342559814453,768,caffe
14,baseline_nb_tfidf,0.8488372093023255,0.5444444444444444,0.5236842105263158,0.5252653927813163,0.5236842105263159,0.16856754102627747,7.353590965270996,0.17560179199790582,11.297715187072754,0.0014042499824427068,3.9850502014160156,0.345573583006626,11.297715187072754,768,caffe
15,baseline_nb_tfidf,0.872093023255814,0.6506172839506172,0.5802631578947368,0.5983014861995753,0.5802631578947368,0.16584195900941268,7.364177703857422,0.18839179101632908,11.297175407409668,0.009422374976566061,3.9850502014160156,0.3636561250023078,11.297175407409668,768,caffe
