seed,model,accuracy,precision_macro,recall_macro,f1_macro,auc,feature_prep_seconds,feature_prep_memory_mb,fit_seconds,fit_memory_mb,predict_seconds,predict_memory_mb,runtime_seconds,peak_python_memory_mb,embedding_dimension,dataset
0,baseline_nb_tfidf,0.8837209302325582,0.7012195121951219,0.5868421052631579,0.6112115732368897,0.5868421052631579,0.14013766599236988,7.362113952636719,0.18538024998269975,11.331493377685547,0.0016651250189170241,3.9850502014160156,0.32718304099398665,11.331493377685547,768,caffe
1,baseline_nb_tfidf,0.8837209302325582,0.7012195121951219,0.5868421052631579,0.6112115732368897,0.5868421052631579,0.1502362499886658,7.364873886108398,0.19095883300178684,11.329838752746582,0.0013487489777617157,3.9850502014160156,0.34254383196821436,11.329838752746582,768,caffe
2,baseline_nb_tfidf,0.8953488372093024,0.7567901234567901,0.6368421052631579,0.6713375796178345,0.6368421052631579,0.14166525000473484,7.364921569824219,0.16965962501126342,11.329137802124023,0.0013002910127397627,3.985006332397461,0.312625166028738,11.329137802124023,768,caffe
3,baseline_nb_tfidf,0.8488372093023255,0.5444444444444444,0.5236842105263158,0.5252653927813163,0.5236842105263159,0.1580132910166867,7.357447624206543,0.17256920799263753,11.312098503112793,0.0012536240101326257,3.9850502014160156,0.33183612301945686,11.312098503112793,768,caffe
4,baseline_nb_tfidf,0.8837209302325582,0.7012195121951219,0.5868421052631579,0.6112115732368897,0.5868421052631579,0.14467641699593514,7.364871978759766,0.19382095799664967,11.294610977172852,0.0012702500098384917,3.9850502014160156,0.3397676250024233,11.294610977172852,768,caffe
5,baseline_nb_tfidf,0.9302325581395349,0.9634146341463414,0.7,0.7667269439421338,0.7,0.12587637500837445,7.362137794494629,0.18903000000864267,11.29797649383545,0.0012799999967683107,3.9850502014160156,0.31618637501378544,11.29797649383545,768,caffe
6,baseline_nb_tfidf,0.872093023255814,0.6699819168173599,0.6236842105263157,0.6409867172675522,0.6236842105263158,0.14118404098553583,7.360679626464844,0.16940708298352547,11.29692554473877,0.0012757079966831952,3.9850502014160156,0.3118668319657445,11.29692554473877,768,caffe
7,baseline_nb_tfidf,0.8837209302325582,0.6964285714285714,0.5434210526315789,0.5520833333333334,0.5434210526315789,0.1585918749915436,7.365724563598633,0.16816095801186748,11.293197631835938,0.0012568749953061342,3.9850502014160156,0.3280097079987172,11.293197631835938,768,caffe
8,baseline_nb_tfidf,0.872093023255814,0.6124497991967871,0.5368421052631579,0.5423318819545235,0.5368421052631579,0.14252399999531917,7.366426467895508,0.17830300002242438,11.296008110046387,0.0012774579809047282,3.9850502014160156,0.3221044579986483,11.296008110046387,768,caffe
9,baseline_nb_tfidf,0.8255813953488372,0.5144665461121157,0.5105263157894737,0.5104364326375711,0.5105263157894737,0.13926708299550228,7.362356185913086,0.1764480420097243,11.29713249206543,0.001968666008906439,3.9850502014160156,0.317683791014133,11.29713249206543,768,caffe
10,baseline_nb_tfidf,0.872093023255814,0.6124497991967871,0.5368421052631579,0.5423318819545235,0.5368421052631579,0.14145016702241264,7.361597061157227,0.17420383400167339,11.295184135437012,0.001272000023163855,3.9850502014160156,0.3169260010472499,11.295184135437012,768,caffe
11,baseline_nb_tfidf,0.8953488372093024,0.785140562248996,0.593421052631579,0.625544267053701,0.5934210526315788,0.16386649999185465,7.357003211975098,0.17206049998640083,11.295884132385254,0.001448583003366366,3.9850502014160156,0.33737558298162185,11.295884132385254,768,caffe
