seed,model,accuracy,precision_macro,recall_macro,f1_macro,auc,feature_prep_seconds,feature_prep_memory_mb,fit_seconds,fit_memory_mb,predict_seconds,predict_memory_mb,runtime_seconds,peak_python_memory_mb,embedding_dimension,dataset
0,baseline_nb_tfidf,0.9069767441860465,0.8323170731707317,0.6434210526315789,0.6889692585895117,0.643421052631579,0.11798166699009016,7.335610389709473,0.17646316601894796,11.301220893859863,0.001630958984605968,3.9850502014160156,0.2960757919936441,11.301220893859863,768,caffe
1,baseline_nb_tfidf,0.8488372093023255,0.5922242314647378,0.5671052631578948,0.5757115749525616,0.5671052631578947,0.0834503750083968,7.338257789611816,0.20334641699446365,11.298028945922852,0.0013506260002031922,3.985006332397461,0.28814741800306365,11.298028945922852,768,caffe
2,baseline_nb_tfidf,0.9069767441860465,0.8323170731707317,0.6434210526315789,0.6889692585895117,0.643421052631579,0.08937166701070964,7.340000152587891,0.17729583298205398,11.294748306274414,0.0022297920077107847,3.9850502014160156,0.2688972920004744,11.294748306274414,768,caffe
3,baseline_nb_tfidf,0.872093023255814,0.6124497991967871,0.5368421052631579,0.5423318819545235,0.5368421052631579,0.12569812501897104,7.335940361022949,0.1783995000005234,11.299927711486816,0.001512624992756173,3.9850502014160156,0.3056102500122506,11.299927711486816,768,caffe
4,baseline_nb_tfidf,0.9069767441860465,0.7958333333333334,0.6868421052631579,0.7243589743589743,0.6868421052631579,0.11306324999895878,7.338045120239258,0.18474058399442583,11.295680046081543,0.0014083329879213125,3.9850502014160156,0.2992121669813059,11.295680046081543,768,caffe
5,baseline_nb_tfidf,0.8953488372093024,0.785140562248996,0.593421052631579,0.625544267053701,0.5934210526315788,0.11355108299176209,7.339692115783691,0.1703106659988407,11.2957181930542,0.0013904999650549144,3.9849624633789062,0.2852522489556577,11.2957181930542,768,caffe
6,baseline_nb_tfidf,0.8488372093023255,0.5922242314647378,0.5671052631578948,0.5757115749525616,0.5671052631578947,0.12910891699721105,7.336345672607422,0.17131837501074187,11.297207832336426,0.001419874985003844,3.9850502014160156,0.3018471669929568,11.297207832336426,768,caffe
7,baseline_nb_tfidf,0.8837209302325582,0.6964285714285714,0.5434210526315789,0.5520833333333334,0.5434210526315789,0.10826033298508264,7.337980270385742,0.19457916598184966,11.29725170135498,0.0012761249672621489,3.9850502014160156,0.30411562393419445,11.29725170135498,768,caffe
8,baseline_nb_tfidf,0.8953488372093024,0.9470588235294117,0.55,0.5629587803500847,0.55,0.11235741601558402,7.342586517333984,0.1784730000072159,11.298257827758789,0.0016173330077435821,3.9850502014160156,0.2924477490305435,11.298257827758789,768,caffe
9,baseline_nb_tfidf,0.8488372093023255,0.5922242314647378,0.5671052631578948,0.5757115749525616,0.5671052631578947,0.1257021669880487,7.337813377380371,0.1738089169957675,11.298602104187012,0.0035658329725265503,3.9850502014160156,0.30307691695634276,11.298602104187012,768,caffe
10,baseline_nb_tfidf,0.872093023255814,0.6124497991967871,0.5368421052631579,0.5423318819545235,0.5368421052631579,0.08835054200608283,7.339385986328125,0.19463804198312573,11.29757308959961,0.00133166802697815,3.985006332397461,0.2843202520161867,11.29757308959961,768,caffe
11,baseline_nb_tfidf,0.8837209302325582,0.7115384615384616,0.6736842105263158,0.6897546897546898,0.6736842105263158,0.08203633298398927,7.331916809082031,0.16697833299986087,11.299429893493652,0.0013977920170873404,3.9850502014160156,0.2504124580009375,11.299429893493652,768,caffe
12,baseline_nb_tfidf,0.872093023255814,0.6506172839506172,0.5802631578947368,0.5983014861995753,0.5802631578947368,0.12370266701327637,7.335735321044922,0.16550550001556985,11.300244331359863,0.0013334579707589,3.9850502014160156,0.2905416249996051,11.300244331359863,768,caffe
13,baseline_nb_tfidf,0.8837209302325582,0.7012195121951219,0.5868421052631579,0.6112115732368897,0.5868421052631579,0.08130387499113567,7.336696624755859,0.18174437500420026,11.297094345092773,0.0012794169888366014,3.9850502014160156,0.26432766698417254,11.297094345092773,768,caffe
14,baseline_nb_tfidf,0.8604651162790697,0.6166666666666667,0.5736842105263158,0.5865384615384616,0.5736842105263158,0.10144762499839999,7.330974578857422,0.1662111250043381,11.296323776245117,0.0014314989966806024,3.9850502014160156,0.2690902489994187,11.296323776245117,768,caffe
15,baseline_nb_tfidf,0.8488372093023255,0.6212121212121212,0.6105263157894737,0.6154110767113863,0.6105263157894737,0.12016766599845141,7.338870048522949,0.16929645801428705,11.29724407196045,0.0012534160341601819,3.9850502014160156,0.29071754004689865,11.29724407196045,768,caffe
16,baseline_nb_tfidf,0.8837209302325582,0.7012195121951219,0.5868421052631579,0.6112115732368897,0.5868421052631579,0.11078266700496897,7.336609840393066,0.18836745800217614,11.296285629272461,0.0012872079969383776,3.9850502014160156,0.3004373330040835,11.296285629272461,768,caffe
17,baseline_nb_tfidf,0.8953488372093024,0.785140562248996,0.593421052631579,0.625544267053701,0.5934210526315788,0.09119812501012348,7.339108467102051,0.18513454200001433,11.295614242553711,0.0013198750093579292,3.9850502014160156,0.27765254201949574,11.295614242553711,768,caffe
18,baseline_nb_tfidf,0.8837209302325582,0.70625,0.6302631578947369,0.655448717948718,0.6302631578947369,0.08085012499941513,7.342931747436523,0.20631770900217816,11.299592971801758,0.005656624998664483,3.9850502014160156,0.2928244590002578,11.299592971801758,768,caffe
19,baseline_nb_tfidf,0.8953488372093024,0.7567901234567901,0.6368421052631579,0.6713375796178345,0.6368421052631579,0.08506191600463353,7.34330940246582,0.18670774999191053,11.298626899719238,0.0012666240218095481,3.985006332397461,0.2730362900183536,11.298626899719238,768,caffe
20,baseline_nb_tfidf,0.8837209302325582,0.6964285714285714,0.5434210526315789,0.5520833333333334,0.5434210526315789,0.10714904201449826,7.338675498962402,0.17003870900953189,11.295816421508789,0.0012892510276287794,3.9850502014160156,0.27847700205165893,11.295816421508789,768,caffe
21,baseline_nb_tfidf,0.8488372093023255,0.5444444444444444,0.5236842105263158,0.5252653927813163,0.5236842105263159,0.10874775002594106,7.339400291442871,0.17658075000508688,11.29747200012207,0.0013672920176759362,3.9850502014160156,0.2866957920487039,11.29747200012207,768,caffe
22,baseline_nb_tfidf,0.8837209302325582,0.7115384615384616,0.6736842105263158,0.6897546897546898,0.6736842105263158,0.10367391598992981,7.338628768920898,0.18494391700369306,11.29719352722168,0.001413374993717298,3.985006332397461,0.29003120798734017,11.29719352722168,768,caffe
23,baseline_nb_tfidf,0.872093023255814,0.6124497991967871,0.5368421052631579,0.5423318819545235,0.5368421052631579,0.08318233297904953,7.338992118835449,0.19137654200312681,11.296980857849121,0.0012810840271413326,3.9850502014160156,0.2758399590093177,11.296980857849121,768,caffe
24,baseline_nb_tfidf,0.8953488372093024,0.785140562248996,0.593421052631579,0.625544267053701,0.5934210526315788,0.0830767500156071,7.337867736816406,0.1808015420101583,11.2957763671875,0.001315707981120795,3.985006332397461,0.2651940000068862,11.2957763671875,768,caffe
25,baseline_nb_tfidf,0.8604651162790697,0.5701219512195121,0.5302631578947369,0.5334538878842676,0.5302631578947369,0.10360437500639819,7.339643478393555,0.180496166984085,11.297000885009766,0.0013618759985547513,3.9850502014160156,0.28546241798903793,11.297000885009766,768,caffe
26,baseline_nb_tfidf,0.8604651162790697,0.44047619047619047,0.4868421052631579,0.4625,0.4868421052631579,0.11039049999089912,7.337859153747559,0.18267650000052527,11.294322967529297,0.0013624589773826301,3.9850502014160156,0.294429458968807,11.294322967529297,768,caffe
27,baseline_nb_tfidf,0.8953488372093024,0.785140562248996,0.593421052631579,0.625544267053701,0.5934210526315788,0.12051791700650938,7.338865280151367,0.1871881669794675,11.29532241821289,0.001460499013774097,3.9850502014160156,0.30916658299975097,11.29532241821289,768,caffe
28,baseline_nb_tfidf,0.8953488372093024,0.785140562248996,0.593421052631579,0.625544267053701,0.5934210526315788,0.10691645799670368,7.330143928527832,0.1722329169861041,11.295758247375488,0.00130562498816289,3.9850502014160156,0.2804549999709707,11.295758247375488,768,caffe
29,baseline_nb_tfidf,0.9069767441860465,0.7958333333333334,0.6868421052631579,0.7243589743589743,0.6868421052631579,0.1296354169899132,7.333558082580566,0.168917250004597,11.296409606933594,0.0013074989838059992,3.9850502014160156,0.2998601659783162,11.296409606933594,768,caffe
0,embedding_lr,0.8604651162790697,0.707516339869281,0.8342105263157895,0.7440476190476191,0.9131578947368421,0.0,0.0,0.003388042008737102,1.4394493103027344,0.000270417018327862,0.5055961608886719,0.003658459027064964,1.4394493103027344,768,caffe
0,hybrid_lr,0.872093023255814,0.712206572769953,0.7973684210526315,0.7425850340136055,0.9052631578947369,0.11001129099167883,3.1802597045898438,0.016550290980376303,4.922294616699219,0.0023777500027790666,2.08990478515625,0.1289393319748342,4.922294616699219,768,caffe
0,embedding_centroid,0.7674418604651163,0.6371794871794871,0.7815789473684212,0.6486928104575163,0.781578947368421,0.0,0.0,0.00014266700600273907,0.5351943969726562,0.0017029170121531934,0.286346435546875,0.0018455840181559324,0.5351943969726562,768,caffe
0,tfidf_lr,0.8837209302325582,0.7115384615384616,0.6736842105263158,0.6897546897546898,0.8736842105263157,0.11001129099167883,3.1802597045898438,0.004038582992507145,0.9651260375976562,0.00018187498790211976,0.0036478042602539062,0.1142317489720881,3.1802597045898438,768,caffe
0,late_fusion_lr,0.872093023255814,0.712206572769953,0.7973684210526315,0.7425850340136055,0.9039473684210526,0.11001129099167883,3.1802597045898438,0.007426625001244247,1.4394493103027344,0.0004606250149663538,0.5055961608886719,0.11789854100788943,3.1802597045898438,768,caffe
0,embedding_knn,0.8837209302325582,0.7291666666666667,0.8039473684210526,0.757882882882883,0.9,0.0,0.0,0.0004651250201277435,0.012604713439941406,0.003331250016344711,0.9090156555175781,0.0037963750364724547,0.9090156555175781,768,caffe
