seed,model,accuracy,precision_macro,recall_macro,f1_macro,auc,feature_prep_seconds,feature_prep_memory_mb,fit_seconds,fit_memory_mb,predict_seconds,predict_memory_mb,runtime_seconds,peak_python_memory_mb,embedding_dimension,dataset
0,baseline_nb_tfidf,0.9069767441860465,0.8323170731707317,0.6434210526315789,0.6889692585895117,0.643421052631579,0.10549108398845419,7.336418151855469,0.17292012501275167,11.297958374023438,0.0012714160257019103,3.9850502014160156,0.27968262502690777,11.297958374023438,768,caffe
1,baseline_nb_tfidf,0.8604651162790697,0.6166666666666667,0.5736842105263158,0.5865384615384616,0.5736842105263158,0.10995795798953623,7.339123725891113,0.20641133398748934,11.298460006713867,0.0014178340206854045,3.9850502014160156,0.317787125997711,11.298460006713867,768,caffe
2,baseline_nb_tfidf,0.9069767441860465,0.8323170731707317,0.6434210526315789,0.6889692585895117,0.643421052631579,0.08488537499215454,7.340513229370117,0.18929099998786114,11.297926902770996,0.0012814170331694186,3.9850502014160156,0.2754577920131851,11.297926902770996,768,caffe
3,baseline_nb_tfidf,0.872093023255814,0.6124497991967871,0.5368421052631579,0.5423318819545235,0.5368421052631579,0.1154159159923438,7.336597442626953,0.19377758298651315,11.297932624816895,0.0012760839890688658,3.9850502014160156,0.3104695829679258,11.297932624816895,768,caffe
4,baseline_nb_tfidf,0.8953488372093024,0.7477396021699819,0.6802631578947369,0.7062618595825427,0.6802631578947368,0.1137929999968037,7.339088439941406,0.1804765410197433,11.298609733581543,0.0013006670051254332,3.9850502014160156,0.29557020802167244,11.298609733581543,768,caffe
5,baseline_nb_tfidf,0.9069767441860465,0.8323170731707317,0.6434210526315789,0.6889692585895117,0.643421052631579,0.11090541601879522,7.340787887573242,0.1800758329918608,11.29880142211914,0.0012939170410390943,3.9850502014160156,0.2922751660516951,11.29880142211914,768,caffe
6,baseline_nb_tfidf,0.872093023255814,0.6506172839506172,0.5802631578947368,0.5983014861995753,0.5802631578947368,0.0830744999984745,7.33721923828125,0.17543470798409544,11.297353744506836,0.0013174170162528753,3.9850502014160156,0.2598266249988228,11.297353744506836,768,caffe
7,baseline_nb_tfidf,0.8837209302325582,0.6964285714285714,0.5434210526315789,0.5520833333333334,0.5434210526315789,0.10760995800956152,7.339022636413574,0.20709758301381953,11.297593116760254,0.001281666976865381,3.9850502014160156,0.31598920800024644,11.297593116760254,768,caffe
8,baseline_nb_tfidf,0.8953488372093024,0.9470588235294117,0.55,0.5629587803500847,0.55,0.12454345900914632,7.343414306640625,0.17138104100013152,11.298276901245117,0.001265041035367176,3.9850502014160156,0.297189541044645,11.298276901245117,768,caffe
9,baseline_nb_tfidf,0.8488372093023255,0.5922242314647378,0.5671052631578948,0.5757115749525616,0.5671052631578947,0.11692629099707119,7.338300704956055,0.18092354098916985,11.298362731933594,0.0027895839884877205,3.9850502014160156,0.30063941597472876,11.298362731933594,768,caffe
