seed,model,accuracy,precision_macro,recall_macro,f1_macro,auc,feature_prep_seconds,feature_prep_memory_mb,fit_seconds,fit_memory_mb,predict_seconds,predict_memory_mb,runtime_seconds,peak_python_memory_mb,embedding_dimension,dataset
0,embedding_lr,0.813953488372093,0.6661931818181819,0.8078947368421052,0.6928571428571428,0.9144736842105263,0.0,0.0,0.003862874989863485,0.9679327011108398,0.00028237499645911157,0.3376274108886719,0.004145249986322597,0.9679327011108398,512,caffe
0,hybrid_lr,0.872093023255814,0.712206572769953,0.7973684210526315,0.7425850340136055,0.9039473684210526,0.10347158301738091,3.1804885864257812,0.013814582984196022,3.3597946166992188,0.00201779100461863,1.41802978515625,0.11930395700619556,3.3597946166992188,512,caffe
0,embedding_centroid,0.7325581395348837,0.6203871748336358,0.7618421052631579,0.6186620397146713,0.7618421052631579,0.0,0.0,0.0001336670247837901,0.35746002197265625,0.001501125021604821,0.2046661376953125,0.0016347920463886112,0.35746002197265625,512,caffe
1,embedding_lr,0.8372093023255814,0.6848484848484848,0.8210526315789474,0.7173708920187793,0.911842105263158,0.0,0.0,0.0033220000041183084,0.9686193466186523,0.00026108301244676113,0.3376274108886719,0.0035830830165650696,0.9686193466186523,512,caffe
1,hybrid_lr,0.8837209302325582,0.722972972972973,0.7605263157894737,0.7393939393939394,0.8855263157894737,0.08195083300233819,3.1246538162231445,0.011340083001414314,3.3534088134765625,0.008513167995261028,1.4246902465820312,0.10180408399901353,3.3534088134765625,512,caffe
1,embedding_centroid,0.8372093023255814,0.6848484848484848,0.8210526315789474,0.7173708920187793,0.8210526315789474,0.0,0.0,0.00030104100005701184,0.35746002197265625,0.012942458997713402,0.20444679260253906,0.013243499997770414,0.35746002197265625,512,caffe
2,embedding_lr,0.8255813953488372,0.6618224666142969,0.7710526315789473,0.6889317578972751,0.888157894736842,0.0,0.0,0.004329832998337224,0.9684591293334961,0.000359041994670406,0.3376274108886719,0.00468887499300763,0.9684591293334961,512,caffe
2,hybrid_lr,0.8837209302325582,0.722972972972973,0.7605263157894737,0.7393939393939394,0.9105263157894737,0.12952275000861846,3.0884857177734375,0.00918204098707065,3.35015869140625,0.001814499992178753,1.4276657104492188,0.14051929098786786,3.35015869140625,512,caffe
2,embedding_centroid,0.7790697674418605,0.6283643892339544,0.7447368421052631,0.6437758883802049,0.7447368421052631,0.0,0.0,0.0001268330088350922,0.35746002197265625,0.008140334015479311,0.2046661376953125,0.008267167024314404,0.35746002197265625,512,caffe
3,embedding_lr,0.8953488372093024,0.7486828240252897,0.8105263157894737,0.7741464838050773,0.95,0.0,0.0,0.007719374989392236,0.9683265686035156,0.0003081259783357382,0.3376274108886719,0.008027500967727974,0.9683265686035156,512,caffe
3,hybrid_lr,0.9534883720930233,0.9182692307692308,0.8434210526315788,0.875901875901876,0.9671052631578948,0.11127970900270157,3.155430793762207,0.009094499982893467,3.3636627197265625,0.0020342499774415046,1.4172515869140625,0.12240845896303654,3.3636627197265625,512,caffe
3,embedding_centroid,0.8604651162790697,0.707516339869281,0.8342105263157895,0.7440476190476191,0.8342105263157895,0.0,0.0,0.00012375001097097993,0.35746002197265625,0.0014527919993270189,0.2046661376953125,0.0015765420102979988,0.35746002197265625,512,caffe
4,embedding_lr,0.8255813953488372,0.6474850809889173,0.7276315789473684,0.6704980842911877,0.861842105263158,0.0,0.0,0.003118334017926827,0.9682493209838867,0.0002405419945716858,0.3376274108886719,0.003358876012498513,0.9682493209838867,512,caffe
4,hybrid_lr,0.9069767441860465,0.780448717948718,0.7302631578947368,0.7518037518037518,0.8973684210526316,0.11125887499656528,3.221188545227051,0.009173333004582673,3.359130859375,0.0018161239859182388,1.4183502197265625,0.1222483319870662,3.359130859375,512,caffe
4,embedding_centroid,0.8023255813953488,0.6280439905734485,0.7144736842105264,0.6474559922835785,0.7144736842105264,0.0,0.0,0.00012166702072136104,0.35746002197265625,0.0014472499897237867,0.2046661376953125,0.0015689170104451478,0.35746002197265625,512,caffe
5,embedding_lr,0.8604651162790697,0.6973214285714286,0.7907894736842105,0.7281348788198103,0.9486842105263158,0.0,0.0,0.004346874979091808,0.9685077667236328,0.00026716600405052304,0.3376274108886719,0.004614040983142331,0.9685077667236328,512,caffe
5,hybrid_lr,0.9418604651162791,0.9691358024691358,0.75,0.8174097664543525,0.9631578947368421,0.1285167080059182,3.307048797607422,0.00874220801051706,3.3537750244140625,0.0018700000073295087,1.4246444702148438,0.13912891602376476,3.3537750244140625,512,caffe
5,embedding_centroid,0.872093023255814,0.7208013640238704,0.8407894736842105,0.7583652618135377,0.8407894736842105,0.0,0.0,0.0001294999965466559,0.35746002197265625,0.0014621670125052333,0.2046661376953125,0.0015916670090518892,0.35746002197265625,512,caffe
6,embedding_lr,0.9069767441860465,0.780448717948718,0.7302631578947368,0.7518037518037518,0.8671052631578947,0.0,0.0,0.0035282080061733723,0.9683361053466797,0.00024225001106970012,0.3376274108886719,0.0037704580172430724,0.9683361053466797,512,caffe
6,hybrid_lr,0.9069767441860465,0.780448717948718,0.7302631578947368,0.7518037518037518,0.8592105263157894,0.08788516698405147,3.263601303100586,0.008420625003054738,3.3632965087890625,0.001955415995325893,1.4143905639648438,0.0982612079824321,3.3632965087890625,512,caffe
6,embedding_centroid,0.8837209302325582,0.7291666666666667,0.8039473684210526,0.757882882882883,0.8039473684210526,0.0,0.0,0.00013116700574755669,0.35746002197265625,0.0015099589654710144,0.2046661376953125,0.001641125971218571,0.35746002197265625,512,caffe
7,embedding_lr,0.8488372093023255,0.671830985915493,0.7407894736842104,0.6957823129251701,0.9052631578947368,0.0,0.0,0.0027600409812293947,0.9679136276245117,0.00023783399956300855,0.3376274108886719,0.0029978749807924032,0.9679136276245117,512,caffe
