dataset,embedding_dimension,model,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,auc_mean,auc_std
caffe,64,embedding_centroid,0.796124,0.038594,0.650848,0.03516,0.780439,0.0541,0.670512,0.045884,0.780439,0.0541
caffe,64,embedding_lr,0.827907,0.038189,0.675004,0.040911,0.792632,0.053693,0.700703,0.047711,0.904035,0.028311
caffe,64,hybrid_lr,0.881395,0.03487,0.729737,0.065609,0.769342,0.063282,0.742597,0.060837,0.922588,0.025957
caffe,128,embedding_centroid,0.811628,0.033507,0.669185,0.031417,0.813816,0.055932,0.693425,0.040106,0.813816,0.055932
caffe,128,embedding_lr,0.839922,0.034908,0.686628,0.040828,0.803772,0.058708,0.714671,0.046061,0.921184,0.024513
caffe,128,hybrid_lr,0.893023,0.031051,0.752849,0.065438,0.783158,0.059983,0.761525,0.055781,0.932632,0.022411
caffe,256,embedding_centroid,0.819767,0.033555,0.670646,0.034414,0.8025,0.054494,0.69647,0.042344,0.8025,0.054494
caffe,256,embedding_lr,0.850388,0.032709,0.695,0.039219,0.802456,0.057349,0.723498,0.044371,0.925307,0.026575
caffe,256,hybrid_lr,0.901938,0.031094,0.774003,0.072191,0.786754,0.059495,0.774396,0.057923,0.933114,0.023815
caffe,512,embedding_centroid,0.825581,0.037399,0.677625,0.037186,0.810132,0.05548,0.704632,0.046002,0.810132,0.05548
caffe,512,embedding_lr,0.85969,0.033581,0.704972,0.044175,0.800482,0.054848,0.732336,0.046611,0.928465,0.026729
caffe,512,hybrid_lr,0.90969,0.030335,0.791764,0.074802,0.788246,0.063247,0.784796,0.06038,0.934693,0.024021
incubator-mxnet,64,embedding_centroid,0.85871,0.027127,0.730218,0.031348,0.871327,0.037223,0.766966,0.036261,0.871327,0.037223
incubator-mxnet,64,embedding_lr,0.888602,0.024781,0.765492,0.036591,0.895586,0.036694,0.805928,0.037728,0.949111,0.021086
incubator-mxnet,64,hybrid_lr,0.916559,0.016852,0.808624,0.035333,0.865494,0.044571,0.831017,0.033391,0.953852,0.016314
incubator-mxnet,128,embedding_centroid,0.878065,0.022113,0.749934,0.028931,0.878889,0.036694,0.788957,0.032279,0.878889,0.036694
incubator-mxnet,128,embedding_lr,0.898495,0.020537,0.777119,0.030939,0.893457,0.038257,0.816418,0.032741,0.949938,0.019698
incubator-mxnet,128,hybrid_lr,0.92,0.011187,0.815641,0.02249,0.86108,0.039198,0.834142,0.024021,0.953864,0.014704
