dataset,embedding_dimension,model,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,auc_mean,auc_std
caffe,64,embedding_centroid,0.803101,0.039689,0.655818,0.035905,0.782939,0.051719,0.676919,0.046033,0.782939,0.051719
caffe,64,embedding_lr,0.824419,0.037938,0.667999,0.040899,0.777632,0.05594,0.69179,0.047011,0.906798,0.02961
caffe,64,hybrid_lr,0.885271,0.035048,0.738257,0.067907,0.772982,0.057127,0.749299,0.060138,0.927851,0.025545
caffe,128,embedding_centroid,0.813566,0.037084,0.670231,0.034602,0.812018,0.059111,0.69471,0.044475,0.812018,0.059111
caffe,128,embedding_lr,0.842248,0.037484,0.690571,0.042322,0.806535,0.057563,0.71814,0.047215,0.922237,0.025339
caffe,128,hybrid_lr,0.89845,0.031281,0.765692,0.066768,0.79057,0.056885,0.77167,0.055141,0.937939,0.022172
caffe,256,embedding_centroid,0.821705,0.040549,0.672471,0.041394,0.797807,0.055506,0.697425,0.04959,0.797807,0.055506
caffe,256,embedding_lr,0.855426,0.032126,0.700659,0.038866,0.805307,0.055354,0.729446,0.043443,0.928553,0.02737
caffe,256,hybrid_lr,0.905814,0.028211,0.782064,0.067191,0.794737,0.05337,0.782584,0.052334,0.938289,0.023876
caffe,512,embedding_centroid,0.828295,0.03609,0.67899,0.034604,0.808772,0.052043,0.706385,0.04291,0.808772,0.052043
caffe,512,embedding_lr,0.865116,0.034897,0.712592,0.046908,0.803553,0.055703,0.739203,0.048523,0.930746,0.027922
caffe,512,hybrid_lr,0.912016,0.028101,0.798753,0.073198,0.791009,0.054343,0.789521,0.054999,0.939737,0.024174
incubator-mxnet,64,embedding_centroid,0.869032,0.028155,0.741398,0.035706,0.875833,0.037711,0.779106,0.039042,0.875833,0.037711
incubator-mxnet,64,embedding_lr,0.893333,0.022903,0.771306,0.03484,0.896173,0.035603,0.811427,0.03515,0.949333,0.021022
incubator-mxnet,64,hybrid_lr,0.917634,0.017582,0.810869,0.035247,0.866111,0.041283,0.83296,0.032992,0.95479,0.015867
incubator-mxnet,128,embedding_centroid,0.87871,0.022052,0.750054,0.029098,0.87429,0.033376,0.78845,0.031765,0.87429,0.033376
incubator-mxnet,128,embedding_lr,0.90043,0.019145,0.779587,0.029095,0.891728,0.035039,0.818285,0.030371,0.950247,0.020178
incubator-mxnet,128,hybrid_lr,0.921505,0.013023,0.818032,0.026127,0.866204,0.041635,0.837796,0.028022,0.955173,0.015031
incubator-mxnet,256,embedding_centroid,0.887527,0.017335,0.759873,0.02568,0.871543,0.033593,0.797068,0.026983,0.871543,0.033593
incubator-mxnet,256,embedding_lr,0.911613,0.018102,0.797501,0.032305,0.88608,0.034561,0.830923,0.030719,0.952247,0.017895
incubator-mxnet,256,hybrid_lr,0.920645,0.012582,0.818813,0.028308,0.852932,0.037362,0.832823,0.026354,0.956049,0.0138
incubator-mxnet,512,embedding_centroid,0.903226,0.017607,0.784102,0.02668,0.894753,0.029886,0.822615,0.026489,0.894753,0.029886
incubator-mxnet,512,embedding_lr,0.917849,0.013861,0.808715,0.026407,0.888241,0.032375,0.839513,0.023699,0.957284,0.017401
incubator-mxnet,512,hybrid_lr,0.925376,0.01218,0.828346,0.027005,0.862037,0.041347,0.842055,0.027704,0.958852,0.012888
keras,64,embedding_centroid,0.832172,0.02217,0.762445,0.020158,0.854372,0.019961,0.785349,0.023347,0.854372,0.019961
keras,64,embedding_lr,0.860033,0.023832,0.789214,0.024919,0.871268,0.022531,0.814621,0.026618,0.93064,0.01562
keras,64,hybrid_lr,0.885738,0.021368,0.819041,0.028776,0.867157,0.023249,0.837931,0.026292,0.939731,0.01528
