dataset,embedding_dimension,model,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,auc_mean,auc_std
caffe,64,embedding_centroid,0.781783,0.041047,0.638058,0.033466,0.762193,0.058583,0.653076,0.045516,0.762193,0.058583
caffe,64,embedding_lr,0.810465,0.040298,0.656297,0.038723,0.772632,0.058414,0.678655,0.049004,0.888289,0.034664
caffe,64,hybrid_lr,0.894574,0.03083,0.758104,0.075119,0.760877,0.059916,0.752595,0.059875,0.904737,0.033018
caffe,128,embedding_centroid,0.802326,0.04519,0.659989,0.038257,0.794079,0.054566,0.680846,0.050687,0.794079,0.054566
caffe,128,embedding_lr,0.839922,0.03609,0.68544,0.040571,0.79943,0.057657,0.713253,0.047043,0.907763,0.028321
caffe,128,hybrid_lr,0.898062,0.030181,0.763151,0.082098,0.754167,0.067684,0.752795,0.067236,0.9175,0.030072
caffe,256,embedding_centroid,0.808915,0.039895,0.658302,0.037592,0.780439,0.056877,0.680407,0.047498,0.780439,0.056877
caffe,256,embedding_lr,0.846124,0.035961,0.68827,0.040974,0.78557,0.051656,0.713766,0.04463,0.912412,0.025314
caffe,256,hybrid_lr,0.902713,0.029207,0.780185,0.07954,0.758246,0.066037,0.760176,0.062493,0.91693,0.029103
caffe,512,embedding_centroid,0.815504,0.042503,0.664202,0.038806,0.784167,0.050164,0.687827,0.04914,0.784167,0.050164
caffe,512,embedding_lr,0.851163,0.034059,0.693301,0.039935,0.785526,0.045966,0.718616,0.041093,0.913202,0.027737
caffe,512,hybrid_lr,0.91124,0.028067,0.805375,0.086514,0.767412,0.060182,0.77708,0.060442,0.918202,0.030437
incubator-mxnet,64,embedding_centroid,0.851183,0.026678,0.718464,0.031683,0.852099,0.046755,0.753219,0.038035,0.852099,0.046755
incubator-mxnet,64,embedding_lr,0.872903,0.027275,0.743837,0.035289,0.868117,0.045234,0.780432,0.039199,0.944901,0.021488
incubator-mxnet,64,hybrid_lr,0.913118,0.019372,0.801284,0.039294,0.860679,0.049954,0.824869,0.039227,0.949864,0.018487
incubator-mxnet,128,embedding_centroid,0.862796,0.027888,0.730583,0.03398,0.855216,0.042181,0.766129,0.038749,0.855216,0.042181
incubator-mxnet,128,embedding_lr,0.884946,0.022862,0.75772,0.031946,0.876451,0.03972,0.795915,0.034859,0.945778,0.019598
incubator-mxnet,128,hybrid_lr,0.910753,0.018097,0.797529,0.035926,0.841574,0.042865,0.815885,0.035838,0.949519,0.017145
incubator-mxnet,256,embedding_centroid,0.868387,0.024175,0.735107,0.03238,0.852037,0.044806,0.770334,0.03623,0.852037,0.044806
incubator-mxnet,256,embedding_lr,0.892903,0.01876,0.766571,0.029661,0.868241,0.042403,0.802087,0.032274,0.950148,0.017282
incubator-mxnet,256,hybrid_lr,0.910323,0.018817,0.79796,0.040159,0.835648,0.045433,0.813299,0.0378,0.951605,0.015268
incubator-mxnet,512,embedding_centroid,0.883871,0.02196,0.754525,0.031865,0.860926,0.038583,0.789966,0.033917,0.860926,0.038583
incubator-mxnet,512,embedding_lr,0.906022,0.016223,0.788383,0.027165,0.885,0.033388,0.823208,0.025659,0.955469,0.015505
incubator-mxnet,512,hybrid_lr,0.915699,0.01752,0.809834,0.040433,0.840154,0.046548,0.821806,0.037083,0.954099,0.015159
keras,64,embedding_centroid,0.798176,0.027737,0.727362,0.025218,0.811552,0.030346,0.744899,0.029761,0.811552,0.030346
keras,64,embedding_lr,0.828027,0.028225,0.755102,0.027888,0.837256,0.030259,0.776922,0.031375,0.916286,0.016916
keras,64,hybrid_lr,0.87728,0.020795,0.807448,0.028729,0.85217,0.029508,0.825012,0.027721,0.933786,0.015372
