dataset,embedding_dimension,model,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,auc_mean,auc_std
caffe,64,embedding_centroid,0.782171,0.042634,0.639181,0.035137,0.76386,0.058363,0.654255,0.047652,0.76386,0.058363
caffe,64,embedding_lr,0.816667,0.038948,0.66376,0.036065,0.783377,0.052369,0.687749,0.045538,0.893026,0.034922
caffe,64,hybrid_lr,0.894186,0.028376,0.754227,0.071839,0.759211,0.063664,0.750216,0.060021,0.907895,0.032626
caffe,128,embedding_centroid,0.803488,0.043759,0.659666,0.036151,0.791842,0.050202,0.680947,0.048326,0.791842,0.050202
caffe,128,embedding_lr,0.839922,0.037732,0.686082,0.041978,0.800877,0.058815,0.713999,0.049215,0.91,0.028636
caffe,128,hybrid_lr,0.901163,0.032136,0.770219,0.081982,0.763158,0.070548,0.761403,0.069699,0.919386,0.029314
caffe,256,embedding_centroid,0.808915,0.040704,0.659412,0.038301,0.783333,0.056139,0.681654,0.048415,0.783333,0.056139
caffe,256,embedding_lr,0.844961,0.036939,0.686931,0.044576,0.78636,0.059497,0.71288,0.049404,0.914781,0.025751
caffe,256,hybrid_lr,0.903876,0.028472,0.786008,0.085272,0.757456,0.059963,0.762334,0.057989,0.918202,0.029843
caffe,512,embedding_centroid,0.815504,0.040365,0.66481,0.036829,0.787061,0.04609,0.688775,0.046421,0.787061,0.04609
caffe,512,embedding_lr,0.854651,0.034649,0.698177,0.03957,0.793289,0.047753,0.724984,0.043543,0.913421,0.028047
caffe,512,hybrid_lr,0.912016,0.02674,0.80837,0.082727,0.769298,0.059407,0.778651,0.057023,0.918684,0.030391
incubator-mxnet,64,embedding_centroid,0.846882,0.026244,0.714133,0.030878,0.84963,0.046984,0.748265,0.037405,0.84963,0.046984
incubator-mxnet,64,embedding_lr,0.871398,0.026134,0.742441,0.033364,0.870093,0.042299,0.779408,0.036957,0.945309,0.021613
incubator-mxnet,64,hybrid_lr,0.911398,0.019898,0.798268,0.040197,0.853302,0.049451,0.820389,0.040089,0.950123,0.019086
incubator-mxnet,128,embedding_centroid,0.858925,0.028236,0.726314,0.033272,0.852284,0.040062,0.761409,0.038285,0.852284,0.040062
incubator-mxnet,128,embedding_lr,0.884946,0.024963,0.757775,0.035545,0.873611,0.043252,0.795194,0.038521,0.944864,0.019752
incubator-mxnet,128,hybrid_lr,0.911613,0.018181,0.799439,0.036666,0.841358,0.04146,0.817079,0.035759,0.949198,0.018093
incubator-mxnet,256,embedding_centroid,0.868387,0.027298,0.736042,0.035821,0.852037,0.041414,0.770928,0.038911,0.852037,0.041414
incubator-mxnet,256,embedding_lr,0.895484,0.02057,0.771205,0.032636,0.870432,0.041322,0.806092,0.033991,0.94916,0.018371
incubator-mxnet,256,hybrid_lr,0.909677,0.019831,0.796544,0.041869,0.833148,0.046677,0.811632,0.040106,0.95116,0.016379
incubator-mxnet,512,embedding_centroid,0.879355,0.022165,0.749017,0.030363,0.860463,0.037213,0.784844,0.032692,0.860463,0.037213
incubator-mxnet,512,embedding_lr,0.904946,0.018164,0.787,0.029926,0.885093,0.035208,0.82201,0.028685,0.954519,0.015589
incubator-mxnet,512,hybrid_lr,0.913548,0.019657,0.805447,0.043719,0.83466,0.050503,0.816987,0.041552,0.953605,0.015783
keras,64,embedding_centroid,0.800332,0.027491,0.729594,0.025195,0.814116,0.029629,0.747394,0.029459,0.814116,0.029629
keras,64,embedding_lr,0.830514,0.026646,0.757344,0.026817,0.839423,0.02863,0.779621,0.029957,0.917779,0.017087
keras,64,hybrid_lr,0.878441,0.020686,0.809238,0.028199,0.854108,0.026355,0.82684,0.02638,0.934167,0.015366
keras,128,embedding_centroid,0.810945,0.025569,0.739548,0.023544,0.824713,0.027319,0.75904,0.027264,0.824713,0.027319
keras,128,embedding_lr,0.846766,0.023423,0.773872,0.023643,0.851748,0.02032,0.797249,0.025064,0.925838,0.016035
keras,128,hybrid_lr,0.88524,0.017863,0.818344,0.025197,0.858681,0.026517,0.834679,0.023821,0.93813,0.014824
keras,256,embedding_centroid,0.839303,0.021355,0.765814,0.022259,0.84706,0.023951,0.789194,0.024213,0.84706,0.023951
keras,256,embedding_lr,0.860697,0.020029,0.78869,0.021441,0.863219,0.019019,0.812873,0.021819,0.934634,0.013495
keras,256,hybrid_lr,0.891708,0.018692,0.827356,0.02723,0.868791,0.024819,0.844185,0.024588,0.941687,0.013941
keras,512,embedding_centroid,0.833002,0.022504,0.758535,0.023311,0.837055,0.026697,0.780781,0.025353,0.837055,0.026697
keras,512,embedding_lr,0.862852,0.020728,0.790128,0.02419,0.860643,0.02443,0.814044,0.024824,0.937658,0.01357
keras,512,hybrid_lr,0.894859,0.017516,0.832244,0.025793,0.869258,0.025021,0.847464,0.023434,0.943313,0.01379
pytorch,64,embedding_centroid,0.838791,0.028217,0.708557,0.027396,0.849206,0.032041,0.740573,0.033061,0.849206,0.032041
pytorch,64,embedding_lr,0.865634,0.021536,0.73465,0.023334,0.866074,0.032577,0.771285,0.026812,0.936338,0.016904
pytorch,64,hybrid_lr,0.901327,0.016521,0.77882,0.029567,0.85028,0.041672,0.805882,0.030541,0.941916,0.015114
pytorch,128,embedding_centroid,0.851032,0.023681,0.720339,0.022755,0.86113,0.025387,0.755558,0.027553,0.86113,0.025387
pytorch,128,embedding_lr,0.871976,0.02256,0.743899,0.024497,0.879515,0.022504,0.782381,0.026849,0.94355,0.01412
pytorch,128,hybrid_lr,0.898525,0.016916,0.774148,0.030459,0.847692,0.042231,0.801639,0.030708,0.946035,0.013936
pytorch,256,embedding_centroid,0.848525,0.025845,0.716701,0.027026,0.85234,0.032866,0.75046,0.031321,0.85234,0.032866
pytorch,256,embedding_lr,0.877876,0.020838,0.750138,0.024587,0.878978,0.02592,0.788379,0.02553,0.944285,0.013303
pytorch,256,hybrid_lr,0.902507,0.016535,0.780602,0.03022,0.847526,0.043066,0.80643,0.031376,0.945703,0.014142
pytorch,512,embedding_centroid,0.851475,0.025819,0.721234,0.026169,0.861383,0.027638,0.756258,0.030797,0.861383,0.027638
pytorch,512,embedding_lr,0.880973,0.020205,0.754106,0.025068,0.881735,0.023414,0.792644,0.024811,0.946339,0.01295
pytorch,512,hybrid_lr,0.90413,0.014714,0.78396,0.02644,0.852868,0.037403,0.810361,0.025531,0.946625,0.014211
tensorflow,64,embedding_centroid,0.85921,0.013989,0.775913,0.016028,0.865125,0.019163,0.80415,0.01753,0.865125,0.019163
tensorflow,64,embedding_lr,0.891648,0.011935,0.814768,0.015158,0.89867,0.016508,0.844823,0.01571,0.9532,0.010502
tensorflow,64,hybrid_lr,0.911484,0.012305,0.842514,0.01767,0.905241,0.016881,0.867873,0.017014,0.962581,0.009246
tensorflow,128,embedding_centroid,0.871216,0.01526,0.789907,0.017712,0.87755,0.019485,0.819012,0.019141,0.87755,0.019485
tensorflow,128,embedding_lr,0.903132,0.011149,0.829876,0.014667,0.909401,0.015206,0.859526,0.014532,0.959433,0.008905
tensorflow,128,hybrid_lr,0.915884,0.010503,0.848805,0.015488,0.910847,0.01375,0.874099,0.01432,0.965125,0.008462
tensorflow,256,embedding_centroid,0.881506,0.012878,0.8018,0.015784,0.882513,0.01856,0.830393,0.016725,0.882513,0.01856
tensorflow,256,embedding_lr,0.904101,0.011433,0.83125,0.015355,0.90954,0.013672,0.860656,0.014701,0.961294,0.009108
tensorflow,256,hybrid_lr,0.919911,0.010549,0.855403,0.015884,0.912106,0.014484,0.879027,0.014625,0.96597,0.008491
tensorflow,512,embedding_centroid,0.892692,0.014373,0.816131,0.018759,0.888181,0.021123,0.843344,0.019457,0.888181,0.021123
tensorflow,512,embedding_lr,0.916928,0.011464,0.849262,0.0165,0.920182,0.014821,0.877259,0.015505,0.962663,0.009067
tensorflow,512,hybrid_lr,0.921402,0.011464,0.858075,0.01755,0.912415,0.016504,0.880845,0.016131,0.966154,0.008794
