seed,model,accuracy,precision_macro,recall_macro,f1_macro,auc,feature_prep_seconds,feature_prep_memory_mb,fit_seconds,fit_memory_mb,predict_seconds,predict_memory_mb,runtime_seconds,peak_python_memory_mb,embedding_dimension,dataset
0,embedding_lr,0.9032258064516129,0.7837804272230502,0.923148148148148,0.829307686660304,0.965925925925926,0.0,0.0,0.0036479579866863787,1.6024446487426758,0.00027037502150051296,0.6076850891113281,0.003918333008186892,1.6024446487426758,512,incubator-mxnet
0,hybrid_lr,0.9161290322580645,0.8030960648148149,0.887962962962963,0.8369872987622361,0.9662962962962963,0.28746379099902697,8.244455337524414,0.013273791992105544,6.266365051269531,0.003050125000299886,2.6571807861328125,0.3037877079914324,8.244455337524414,512,incubator-mxnet
0,embedding_centroid,0.8774193548387097,0.7525194686211636,0.9083333333333333,0.7957839262187087,0.9083333333333333,0.0,0.0,0.0001538340002298355,0.6289443969726562,0.0016488749824929982,0.3398265838623047,0.0018027089827228338,0.6289443969726562,512,incubator-mxnet
1,embedding_lr,0.9161290322580645,0.8030960648148149,0.887962962962963,0.8369872987622361,0.9666666666666667,0.0,0.0,0.0038437499897554517,1.6021804809570312,0.00030291700386442244,0.6076850891113281,0.004146666993619874,1.6021804809570312,512,incubator-mxnet
1,hybrid_lr,0.9354838709677419,0.8427162849872774,0.8990740740740741,0.8675666438824333,0.9659259259259259,0.30444191599963233,8.044951438903809,0.015956457995343953,6.259979248046875,0.0028167499986011535,2.673797607421875,0.32321512399357744,8.044951438903809,512,incubator-mxnet
1,embedding_centroid,0.9096774193548387,0.7928099593495934,0.9268518518518518,0.8382528324388789,0.9268518518518518,0.0,0.0,0.00015083301695995033,0.6289443969726562,0.001819249999243766,0.33991432189941406,0.0019700830162037164,0.6289443969726562,512,incubator-mxnet
2,embedding_lr,0.9290322580645162,0.8384861407249466,0.8527777777777779,0.8454075618823103,0.9762962962962962,0.0,0.0,0.0032603330037090927,1.6025466918945312,0.0002637910074554384,0.6076850891113281,0.003524124011164531,1.6025466918945312,512,incubator-mxnet
2,hybrid_lr,0.9483870967741935,0.898418491484185,0.8638888888888889,0.8800309597523219,0.9740740740740741,0.30816041701473296,8.272255897521973,0.014196499978424981,6.262886047363281,0.002814957988448441,2.659881591796875,0.3251718749816064,8.272255897521973,512,incubator-mxnet
2,embedding_centroid,0.9225806451612903,0.8152951699463327,0.8916666666666666,0.8468379446640316,0.8916666666666667,0.0,0.0,0.00023266600328497589,0.6289443969726562,0.0015511669917032123,0.33995819091796875,0.0017838329949881881,0.6289443969726562,512,incubator-mxnet
3,embedding_lr,0.9096774193548387,0.7921884317233154,0.8629629629629629,0.8213109354413702,0.9588888888888889,0.0,0.0,0.003215209027985111,1.6021814346313477,0.00025850001838989556,0.6076850891113281,0.0034737090463750064,1.6021814346313477,512,incubator-mxnet
3,hybrid_lr,0.9225806451612903,0.8221120984278878,0.8490740740740741,0.8347547974413646,0.9633333333333333,0.28920366600505076,8.435918807983398,0.028550791001180187,6.2496795654296875,0.005841042002430186,2.67059326171875,0.32359549900866114,8.435918807983398,512,incubator-mxnet
3,embedding_centroid,0.896774193548387,0.7713333333333333,0.8768518518518518,0.8092307692307692,0.8768518518518519,0.0,0.0,0.00019000002066604793,0.6289443969726562,0.002076917007798329,0.3398265838623047,0.002266917028464377,0.6289443969726562,512,incubator-mxnet
4,embedding_lr,0.9290322580645162,0.8236179529282978,0.9379629629629629,0.8666823051059505,0.9762962962962963,0.0,0.0,0.0033401249966118485,1.6023616790771484,0.0002883340057451278,0.6076412200927734,0.0036284590023569763,1.6023616790771484,512,incubator-mxnet
4,hybrid_lr,0.9419354838709677,0.858201581027668,0.9027777777777778,0.8784949046250327,0.9740740740740741,0.2890680840064306,8.449053764343262,0.012263584008906037,6.275291442871094,0.002925167034845799,2.6574554443359375,0.3042568350501824,8.449053764343262,512,incubator-mxnet
4,embedding_centroid,0.896774193548387,0.7752795333009237,0.9194444444444444,0.8206018518518519,0.9194444444444444,0.0,0.0,0.00015150001854635775,0.6289443969726562,0.0015619160258211195,0.3397388458251953,0.0017134160443674773,0.6289443969726562,512,incubator-mxnet
5,embedding_lr,0.9161290322580645,0.8071475625823452,0.8453703703703703,0.8244926400139361,0.9655555555555555,0.0,0.0,0.0030151250248309225,1.6021757125854492,0.0002606670022942126,0.6076850891113281,0.003275792027125135,1.6021757125854492,512,incubator-mxnet
5,hybrid_lr,0.9290322580645162,0.8384861407249466,0.8527777777777779,0.8454075618823103,0.9666666666666667,0.27308425001683645,7.201310157775879,0.01763399998890236,6.2901458740234375,0.002703332982491702,2.6696548461914062,0.2934215829882305,7.201310157775879,512,incubator-mxnet
5,embedding_centroid,0.9032258064516129,0.7806712962962963,0.8592592592592593,0.8119084216487339,0.8592592592592593,0.0,0.0,0.00014770799316465855,0.6289443969726562,0.0015903750027064234,0.33956336975097656,0.001738082995871082,0.6289443969726562,512,incubator-mxnet
6,embedding_lr,0.9290322580645162,0.8255208333333333,0.9166666666666667,0.8620661758757382,0.9703703703703703,0.0,0.0,0.0033534170070197433,1.6023168563842773,0.00025866698706522584,0.6076850891113281,0.003612083994084969,1.6023168563842773,512,incubator-mxnet
6,hybrid_lr,0.9354838709677419,0.8427162849872774,0.8990740740740741,0.8675666438824333,0.9666666666666666,0.2954588750144467,8.216476440429688,0.012678291997872293,6.26263427734375,0.0028506249946076423,2.6668853759765625,0.3109877920069266,8.216476440429688,512,incubator-mxnet
6,embedding_centroid,0.9161290322580645,0.803030303030303,0.9518518518518518,0.8520666617722634,0.9518518518518518,0.0,0.0,0.00015224999515339732,0.6289443969726562,0.0016642489936202765,0.33991432189941406,0.0018164989887736738,0.6289443969726562,512,incubator-mxnet
7,embedding_lr,0.8903225806451613,0.7599890530925013,0.8518518518518519,0.7939635624364688,0.9277777777777777,0.0,0.0,0.015575041994452477,1.602005958557129,0.0004878750187344849,0.6076850891113281,0.01606291701318696,1.602005958557129,512,incubator-mxnet
7,hybrid_lr,0.896774193548387,0.7687659033078881,0.8129629629629629,0.7881066302118933,0.9381481481481482,0.28403537499252707,8.447096824645996,0.04068804101552814,6.2803497314453125,0.003067500045290217,2.6540908813476562,0.3277909160533454,8.447096824645996,512,incubator-mxnet
7,embedding_centroid,0.8774193548387097,0.7419354838709677,0.8444444444444444,0.7770459535165417,0.8444444444444443,0.0,0.0,0.00015495801926590502,0.6289443969726562,0.0017780000052880496,0.33956336975097656,0.0019329580245539546,0.6289443969726562,512,incubator-mxnet
8,embedding_lr,0.9096774193548387,0.7921884317233154,0.8629629629629629,0.8213109354413702,0.9344444444444444,0.0,0.0,0.004250792000675574,1.601557731628418,0.0003850000211969018,0.6076412200927734,0.004635792021872476,1.601557731628418,512,incubator-mxnet
8,hybrid_lr,0.9419354838709677,0.8763544891640866,0.8601851851851852,0.8680102185637242,0.9485185185185185,0.307884792011464,8.269078254699707,0.018015374982496724,6.2547149658203125,0.0027200839831493795,2.670684814453125,0.3286202509771101,8.269078254699707,512,incubator-mxnet
8,embedding_centroid,0.896774193548387,0.7699662542182226,0.8555555555555556,0.8027989821882952,0.8555555555555555,0.0,0.0,0.00015133299166336656,0.6289443969726562,0.00693400003365241,0.3394756317138672,0.0070853330253157765,0.6289443969726562,512,incubator-mxnet
9,embedding_lr,0.9354838709677419,0.8669910786699109,0.8351851851851851,0.8500386996904025,0.9644444444444444,0.0,0.0,0.00329558301018551,1.601902961730957,0.0002692919806577265,0.6076850891113281,0.0035648749908432364,1.601902961730957,512,incubator-mxnet
9,hybrid_lr,0.9161290322580645,0.8345238095238094,0.7601851851851852,0.7906493506493506,0.9629629629629629,0.27996416701353155,8.606668472290039,0.012819083000067621,6.27764892578125,0.0027574169798754156,2.6561279296875,0.2955406669934746,8.606668472290039,512,incubator-mxnet
9,embedding_centroid,0.9096774193548387,0.7934160305343512,0.8416666666666667,0.8145933014354066,0.8416666666666667,0.0,0.0,0.00015041700680740178,0.6289443969726562,0.0017269590171054006,0.3395195007324219,0.0018773760239128023,0.6289443969726562,512,incubator-mxnet
10,embedding_lr,0.9354838709677419,0.8427162849872774,0.8990740740740741,0.8675666438824333,0.9803703703703703,0.0,0.0,0.0047529999865219,1.602229118347168,0.0002853330224752426,0.6076850891113281,0.005038333008997142,1.602229118347168,512,incubator-mxnet
10,hybrid_lr,0.9354838709677419,0.8485987696514012,0.8777777777777778,0.8622956645344705,0.9681481481481482,0.3002410000190139,8.153076171875,0.02114266701391898,6.267005920410156,0.0030015420052222908,2.6616439819335938,0.32438520903815515,8.153076171875,512,incubator-mxnet
10,embedding_centroid,0.9161290322580645,0.8024083196496989,0.9092592592592592,0.8424427242161232,0.9092592592592592,0.0,0.0,0.0002195000124629587,0.6289443969726562,0.0018625840311869979,0.3398265838623047,0.0020820840436499566,0.6289443969726562,512,incubator-mxnet
11,embedding_lr,0.9032258064516129,0.7811986863711001,0.8805555555555555,0.818203143326296,0.9496296296296296,0.0,0.0,0.015454083011718467,1.6028385162353516,0.0015907490160316229,0.6076850891113281,0.01704483202775009,1.6028385162353516,512,incubator-mxnet
11,hybrid_lr,0.9290322580645162,0.8326745718050066,0.8740740740740741,0.8514937723194844,0.961111111111111,0.293874583003344,8.087427139282227,0.018937666987767443,6.254302978515625,0.003922541975043714,2.6784210205078125,0.31673479196615517,8.087427139282227,512,incubator-mxnet
11,embedding_centroid,0.8903225806451613,0.7620967741935484,0.8731481481481481,0.8005148005148005,0.8731481481481481,0.0,0.0,0.00015800000983290374,0.6289443969726562,0.0024362919793929905,0.33991432189941406,0.002594291989225894,0.6289443969726562,512,incubator-mxnet
12,embedding_lr,0.9096774193548387,0.7917604049493814,0.8842592592592593,0.8274491094147582,0.9674074074074075,0.0,0.0,0.01067650000914,1.6026973724365234,0.00039412500336766243,0.6076850891113281,0.011070625012507662,1.6026973724365234,512,incubator-mxnet
12,hybrid_lr,0.9225806451612903,0.8152951699463327,0.8916666666666666,0.8468379446640316,0.9633333333333334,0.26366762499674223,7.418954849243164,0.021840750006958842,6.320152282714844,0.002732665976509452,2.64202880859375,0.28824104098021053,7.418954849243164,512,incubator-mxnet
12,embedding_centroid,0.8903225806451613,0.7645305514157973,0.8944444444444444,0.8065487115483445,0.8944444444444444,0.0,0.0,0.00015379101387225091,0.6289443969726562,0.0019202489929739386,0.3398704528808594,0.0020740400068461895,0.6289443969726562,512,incubator-mxnet
13,embedding_lr,0.8774193548387097,0.7452806756085444,0.8657407407407407,0.783789736436385,0.9203703703703704,0.0,0.0,0.010922540997853503,1.6025075912475586,0.0008959170081652701,0.6076850891113281,0.011818458006018773,1.6025075912475586,512,incubator-mxnet
13,hybrid_lr,0.9161290322580645,0.8030960648148149,0.887962962962963,0.8369872987622361,0.9262962962962962,0.274402499984717,7.25837516784668,0.022124042006907985,6.3009490966796875,0.0029009170248173177,2.6622161865234375,0.2994274590164423,7.25837516784668,512,incubator-mxnet
