seed,model,accuracy,precision_macro,recall_macro,f1_macro,auc,feature_prep_seconds,feature_prep_memory_mb,fit_seconds,fit_memory_mb,predict_seconds,predict_memory_mb,runtime_seconds,peak_python_memory_mb,embedding_dimension,dataset
0,baseline_nb_tfidf,0.7512437810945274,0.5326778484673221,0.5172256097560975,0.5102339181286549,0.5172256097560977,0.32972241699462757,16.747089385986328,0.2422231670061592,24.609331130981445,0.0028239590174052864,9.25020980834961,0.574769543018192,24.609331130981445,768,keras
1,baseline_nb_tfidf,0.7313432835820896,0.4528452685421995,0.47751524390243905,0.45599438652766644,0.477515243902439,0.3230093340098392,16.742443084716797,0.21530233300291002,24.60986614227295,0.0030366670107468963,9.25020980834961,0.5413483340234961,24.60986614227295,768,keras
2,baseline_nb_tfidf,0.7711442786069652,0.6317640692640693,0.6113567073170731,0.619067237969677,0.6113567073170731,0.3239077079924755,16.743596076965332,0.20144437500857748,24.606246948242188,0.0026478329964447767,9.25020980834961,0.5279999159974977,24.606246948242188,768,keras
3,baseline_nb_tfidf,0.7611940298507462,0.5890909090909091,0.5597560975609757,0.5649350649350648,0.5597560975609757,0.3332878339861054,16.75094223022461,0.22275954199722037,24.609610557556152,0.0025859579909592867,9.25020980834961,0.558633333974285,24.609610557556152,768,keras
4,baseline_nb_tfidf,0.7263681592039801,0.48755713560182834,0.492530487804878,0.48237111953926115,0.49253048780487807,0.3420992500032298,16.743701934814453,0.20717908401275054,24.609179496765137,0.0026382080104667693,9.25020980834961,0.5519165420264471,24.609179496765137,768,keras
5,baseline_nb_tfidf,0.7512437810945274,0.5456349206349207,0.526295731707317,0.5232447817836812,0.526295731707317,0.3103312500170432,16.736413955688477,0.22026958302012645,24.609310150146484,0.0027966670168098062,9.25020980834961,0.5333975000539795,24.609310150146484,768,keras
6,baseline_nb_tfidf,0.7562189054726368,0.4801587301587301,0.49314024390243905,0.46753527599070116,0.49314024390243905,0.33562991698272526,16.760268211364746,0.23246945801656693,24.60987663269043,0.002501918002963066,9.25020980834961,0.5706012930022553,24.60987663269043,768,keras
7,baseline_nb_tfidf,0.7611940298507462,0.5492327365728901,0.5234756097560975,0.516439454691259,0.5234756097560976,0.3399612499924842,16.748812675476074,0.2368979169987142,24.606794357299805,0.002519249974284321,9.25020980834961,0.5793784169654828,24.606794357299805,768,keras
8,baseline_nb_tfidf,0.7611940298507462,0.5492327365728901,0.5234756097560975,0.516439454691259,0.5234756097560976,0.3663176250120159,16.748037338256836,0.20577820800826885,24.607744216918945,0.0025123330124188215,9.25020980834961,0.5746081660327036,24.607744216918945,768,keras
9,baseline_nb_tfidf,0.7213930348258707,0.48302393746946753,0.489405487804878,0.4796597633136095,0.4894054878048781,0.32741929101757705,16.74844264984131,0.24366333399666473,24.60629653930664,0.0029780839977320284,9.25020980834961,0.5740607090119738,24.60629653930664,768,keras
10,baseline_nb_tfidf,0.7512437810945274,0.47319967266775775,0.49001524390243906,0.4651979565772669,0.49001524390243906,0.33365354101988487,16.73777675628662,0.2620135420002043,24.60542583465576,0.0030452500213868916,9.25020980834961,0.5987123330414761,24.60542583465576,768,keras
11,baseline_nb_tfidf,0.7412935323383084,0.5036148062463852,0.5019054878048781,0.49064327485380116,0.5019054878048781,0.32951408298686147,16.744179725646973,0.20821154199074954,24.6068115234375,0.002671499998541549,9.25020980834961,0.5403971249761526,24.6068115234375,768,keras
12,baseline_nb_tfidf,0.7313432835820896,0.5205681818181818,0.5137957317073171,0.510551948051948,0.513795731707317,0.3120617079839576,16.734288215637207,0.1968029999989085,24.60426139831543,0.00273179096984677,9.25020980834961,0.5115964989527129,24.60426139831543,768,keras
13,baseline_nb_tfidf,0.7810945273631841,0.6059139784946237,0.5450457317073171,0.5435590421139553,0.5450457317073171,0.3133864589908626,16.75838851928711,0.20725566599867307,24.605714797973633,0.0024994999985210598,9.250165939331055,0.5231416249880567,24.605714797973633,768,keras
14,baseline_nb_tfidf,0.7860696517412935,0.6444209039548022,0.5935213414634146,0.6054325496461995,0.5935213414634146,0.31837245798669755,16.76391315460205,0.20494004199281335,24.60640525817871,0.002453124994644895,9.25020980834961,0.5257656249741558,24.60640525817871,768,keras
15,baseline_nb_tfidf,0.746268656716418,0.5100182149362478,0.505030487804878,0.49345258684587634,0.505030487804878,0.3050541249976959,16.753960609436035,0.19790320898755454,24.607542991638184,0.0030478740227408707,9.25020980834961,0.5060052080079913,24.607542991638184,768,keras
16,baseline_nb_tfidf,0.7611940298507462,0.5143207855973814,0.5053353658536586,0.48659003831417624,0.5053353658536586,0.30510795800364576,16.74917984008789,0.2103103330009617,24.608872413635254,0.002663458028109744,9.25020980834961,0.5180817490327172,24.608872413635254,768,keras
17,baseline_nb_tfidf,0.7263681592039801,0.5368421052631579,0.5288109756097561,0.5295944853410494,0.5288109756097561,0.3171328329772223,16.746901512145996,0.20371008300571702,24.60777187347412,0.0025321670109406114,9.25020980834961,0.5233750829938799,24.60777187347412,768,keras
18,baseline_nb_tfidf,0.7661691542288557,0.5896394108684612,0.5538109756097561,0.5576625930608232,0.5538109756097561,0.30617279099533334,16.753222465515137,0.20886345900362357,24.610231399536133,0.002896833000704646,9.25020980834961,0.5179330829996616,24.610231399536133,768,keras
19,baseline_nb_tfidf,0.7611940298507462,0.5143207855973814,0.5053353658536586,0.48659003831417624,0.5053353658536586,0.3099715420103166,16.741408348083496,0.20336104201851413,24.608325004577637,0.0024958330031950027,9.25020980834961,0.5158284170320258,24.608325004577637,768,keras
20,baseline_nb_tfidf,0.7512437810945274,0.5171035805626598,0.5081554878048781,0.49629109863672816,0.508155487804878,0.3139548329927493,16.74889850616455,0.20653399999719113,24.60892677307129,0.0025132499868050218,9.25020980834961,0.5230020829767454,24.60892677307129,768,keras
21,baseline_nb_tfidf,0.7711442786069652,0.6057645334636053,0.5660060975609756,0.5725776627218935,0.5660060975609756,0.3047044579870999,16.73849582672119,0.20812066699727438,24.60838031768799,0.0028199999942444265,9.25020980834961,0.5156451249786187,24.60838031768799,768,keras
22,baseline_nb_tfidf,0.7611940298507462,0.561740890688259,0.532545731707317,0.5298245614035088,0.532545731707317,0.30860420799581334,16.764349937438965,0.1947036249912344,24.609471321105957,0.0025994180177804083,9.25020980834961,0.5059072510048281,24.609471321105957,768,keras
23,baseline_nb_tfidf,0.7512437810945274,0.5326778484673221,0.5172256097560975,0.5102339181286549,0.5172256097560977,0.33210645799408667,16.73114585876465,0.19924483299837448,24.609956741333008,0.0025759580021258444,9.25020980834961,0.533927248994587,24.609956741333008,768,keras
24,baseline_nb_tfidf,0.7412935323383084,0.5036148062463852,0.5019054878048781,0.49064327485380116,0.5019054878048781,0.30854345799889416,16.73478412628174,0.24470812501385808,24.607154846191406,0.0028898330056108534,9.25020980834961,0.5561414160183631,24.607154846191406,768,keras
25,baseline_nb_tfidf,0.7512437810945274,0.49784946236559136,0.49908536585365854,0.48131709331131295,0.4990853658536586,0.3010995000076946,16.76004123687744,0.22802487498847768,24.608494758605957,0.0026075410132762045,9.25020980834961,0.5317319160094485,24.608494758605957,768,keras
26,baseline_nb_tfidf,0.7562189054726368,0.5533149171270718,0.5294207317073171,0.5265131484063266,0.529420731707317,0.3111238330020569,16.74544620513916,0.23206412501167506,24.608119010925293,0.0028292509668972343,9.25020980834961,0.5460172089806292,24.608119010925293,768,keras
27,baseline_nb_tfidf,0.736318407960199,0.5261299435028248,0.516920731707317,0.5136726774708971,0.516920731707317,0.34920054199756123,16.742101669311523,0.23887766699772328,24.608240127563477,0.0029872079903725535,9.25020980834961,0.5910654169856571,24.608240127563477,768,keras
28,baseline_nb_tfidf,0.7860696517412935,0.6130952380952381,0.5391006097560975,0.5327350381142888,0.5391006097560976,0.36372112500248477,16.747570037841797,0.23374829199747182,24.60695743560791,0.002873998979339376,9.25020980834961,0.600343415979296,24.60695743560791,768,keras
29,baseline_nb_tfidf,0.7562189054726368,0.5889760528488852,0.5657012195121951,0.5713539626583105,0.5657012195121951,0.39177524999831803,16.749536514282227,0.227660750009818,24.606855392456055,0.0030039580014999956,9.25020980834961,0.622439958009636,24.606855392456055,768,keras
0,embedding_lr,0.9203980099502488,0.8643931256713211,0.913719512195122,0.8854700854700854,0.9704268292682926,0.0,0.0,0.004007040988653898,3.0117435455322266,0.0003383750154171139,1.1803016662597656,0.004345416004071012,3.0117435455322266,768,keras
0,hybrid_lr,0.9203980099502488,0.8696581196581197,0.8955792682926829,0.8816602884898439,0.9658536585365854,0.3643653750186786,8.798301696777344,0.019378958008019254,11.918052673339844,0.005841708014486358,5.104072570800781,0.3895860410411842,11.918052673339844,768,keras
0,embedding_centroid,0.9054726368159204,0.8416477702191988,0.9134146341463415,0.8690553745928339,0.9134146341463415,0.0,0.0,0.00019483300275169313,1.1094131469726562,0.002048166992608458,0.6244449615478516,0.002242999995360151,1.1094131469726562,768,keras
0,tfidf_lr,0.8756218905472637,0.8123183726186632,0.7948932926829269,0.8030724614962574,0.9198170731707317,0.3643653750186786,8.798301696777344,0.005725875002099201,0.9729814529418945,0.0002692919806577265,0.007157325744628906,0.37036054200143553,8.798301696777344,768,keras
0,late_fusion_lr,0.9104477611940298,0.8528599060513954,0.889329268292683,0.8690648523451071,0.9640243902439024,0.3643653750186786,8.798301696777344,0.0097329159907531,3.0117435455322266,0.0006168329855427146,1.1803016662597656,0.3747151239949744,8.798301696777344,768,keras
0,embedding_knn,0.9203980099502488,0.873196938475125,0.8865091463414634,0.8796046720575023,0.9451981707317073,0.0,0.0,0.0007059579947963357,0.025156021118164062,0.006131500005722046,2.3205337524414062,0.006837458000518382,2.3205337524414062,768,keras
1,embedding_lr,0.900497512437811,0.8374060150375939,0.8830792682926829,0.8568376068376069,0.9481707317073171,0.0,0.0,0.005512207979336381,3.011652946472168,0.00040854199323803186,1.180257797241211,0.005920749972574413,3.011652946472168,768,keras
1,hybrid_lr,0.9054726368159204,0.846984572230014,0.8771341463414635,0.8606458675424193,0.9528963414634146,0.383738541015191,8.887121200561523,0.021926000015810132,11.926864624023438,0.005045250029070303,5.097892761230469,0.41070979106007144,11.926864624023438,768,keras
1,embedding_centroid,0.8855721393034826,0.8165640394088669,0.891844512195122,0.8437383809362853,0.891844512195122,0.0,0.0,0.00024262501392513514,1.1094131469726562,0.002079792000586167,0.6243572235107422,0.002322417014511302,1.1094131469726562,768,keras
1,tfidf_lr,0.8855721393034826,0.8252329192546584,0.8192835365853659,0.8221991461866851,0.911890243902439,0.383738541015191,8.887121200561523,0.0049588329857215285,0.973362922668457,0.00026591704227030277,0.007113456726074219,0.38896329104318283,8.887121200561523,768,keras
1,late_fusion_lr,0.8905472636815921,0.8250898038132081,0.8586890243902439,0.839968152866242,0.9513719512195122,0.383738541015191,8.887121200561523,0.01047104096505791,3.011652946472168,0.0006831680366303772,1.180257797241211,0.3948927500168793,8.887121200561523,768,keras
