seed,model,accuracy,precision_macro,recall_macro,f1_macro,auc,feature_prep_seconds,feature_prep_memory_mb,fit_seconds,fit_memory_mb,predict_seconds,predict_memory_mb,runtime_seconds,peak_python_memory_mb,embedding_dimension,dataset
0,baseline_nb_tfidf,0.7611940298507462,0.5722222222222222,0.5416158536585366,0.5423149905123339,0.5416158536585365,0.2496537080151029,16.659499168395996,0.2312966249883175,24.609682083129883,0.002833666017977521,9.250165939331055,0.4837839990213979,24.609682083129883,768,keras
1,baseline_nb_tfidf,0.736318407960199,0.49779005524861875,0.49878048780487805,0.4878611605211288,0.4987804878048781,0.26649454099242575,16.656880378723145,0.21704495899030007,24.610169410705566,0.0024416660016868263,9.25020980834961,0.48598116598441266,24.610169410705566,768,keras
2,baseline_nb_tfidf,0.7810945273631841,0.6463946869070208,0.6176067073170732,0.6277777777777778,0.6176067073170732,0.2767493329884019,16.6564302444458,0.21983533300226554,24.60920238494873,0.002421417011646554,9.25020980834961,0.49900608300231397,24.60920238494873,768,keras
3,baseline_nb_tfidf,0.746268656716418,0.5385982732351448,0.5231707317073171,0.5200168563000421,0.5231707317073171,0.23813745798543096,16.661580085754395,0.2161003749934025,24.610044479370117,0.0025000839959830046,9.25020980834961,0.45673791697481647,24.610044479370117,768,keras
4,baseline_nb_tfidf,0.7313432835820896,0.5319284802043422,0.5228658536585366,0.5221028531172948,0.5228658536585366,0.2546720409882255,16.6585054397583,0.2729943329759408,24.608054161071777,0.002468749968102202,9.25020980834961,0.5301351239322685,24.608054161071777,768,keras
5,baseline_nb_tfidf,0.7512437810945274,0.56625,0.5444359756097561,0.5468073593073592,0.5444359756097561,0.24923920800210908,16.654237747192383,0.23236125000403263,24.608661651611328,0.0027332919707987458,9.25020980834961,0.48433374997694045,24.608661651611328,768,keras
6,baseline_nb_tfidf,0.736318407960199,0.5130777044184865,0.5078506097560975,0.5011939879196516,0.5078506097560976,0.2511166670010425,16.668123245239258,0.234264707978582,24.60984516143799,0.0024985419877339154,9.25020980834961,0.48787991696735844,24.60984516143799,768,keras
7,baseline_nb_tfidf,0.7412935323383084,0.5190476190476191,0.5109756097560976,0.5041745730550284,0.5109756097560977,0.23871966599836014,16.66133213043213,0.2283892499981448,24.6080961227417,0.0025402919854968786,9.25020980834961,0.4696492079820018,24.6080961227417,768,keras
8,baseline_nb_tfidf,0.7810945273631841,0.6347727272727273,0.5903963414634146,0.6011904761904762,0.5903963414634146,0.2606740000192076,16.658740043640137,0.21543220902094617,24.60986042022705,0.0027215829759370536,9.250165939331055,0.4788277920160908,24.60986042022705,768,keras
9,baseline_nb_tfidf,0.7114427860696517,0.4392857142857143,0.46501524390243903,0.44696394686907026,0.465015243902439,0.2644853750243783,16.658641815185547,0.21253270798479207,24.610939979553223,0.0024796659708954394,9.25020980834961,0.4794977489800658,24.610939979553223,768,keras
