seed,model,accuracy,precision_macro,recall_macro,f1_macro,auc,feature_prep_seconds,feature_prep_memory_mb,fit_seconds,fit_memory_mb,predict_seconds,predict_memory_mb,runtime_seconds,peak_python_memory_mb,embedding_dimension,dataset
0,embedding_lr,0.9154228855721394,0.8567549668874173,0.910594512195122,0.8792622168827957,0.9722560975609756,0.0,0.0,0.00322099999175407,2.0191173553466797,0.0002761250070761889,0.7877235412597656,0.003497124998830259,2.0191173553466797,512,keras
0,hybrid_lr,0.9303482587064676,0.8839743589743589,0.9108993902439024,0.8964527524286134,0.9661585365853659,0.3703090000199154,9.026535034179688,0.01362141701974906,8.263847351074219,0.003352250001626089,3.531585693359375,0.38728266704129055,9.026535034179688,512,keras
0,embedding_centroid,0.9154228855721394,0.8543083900226758,0.928734756097561,0.8828390193725355,0.928734756097561,0.0,0.0,0.00016608298756182194,0.7402725219726562,0.001617917005205527,0.4295387268066406,0.0017839999927673489,0.7402725219726562,512,keras
1,embedding_lr,0.8855721393034826,0.8176062091503268,0.8555640243902439,0.8340453027964246,0.9442073170731706,0.0,0.0,0.003136708022793755,2.0197935104370117,0.0002775840403046459,0.7877235412597656,0.003414292063098401,2.0197935104370117,512,keras
1,hybrid_lr,0.9054726368159204,0.8495222929936306,0.868064024390244,0.858266839858972,0.9524390243902439,0.3630949590005912,9.122655868530273,0.01302195797325112,8.273963928222656,0.003419666987610981,3.5275115966796875,0.3795365839614533,9.122655868530273,512,keras
1,embedding_centroid,0.8805970149253731,0.8101494396014943,0.8796493902439024,0.8357843137254901,0.8796493902439023,0.0,0.0,0.0002792499726638198,0.7402725219726562,0.0018102499889209867,0.42980194091796875,0.0020894999615848064,0.7402725219726562,512,keras
2,embedding_lr,0.8905472636815921,0.822730749617542,0.8858993902439025,0.8472644376899696,0.9451219512195121,0.0,0.0,0.0030876669916324317,2.02005672454834,0.0002732080174610019,0.7877235412597656,0.0033608750090934336,2.02005672454834,512,keras
2,hybrid_lr,0.9104477611940298,0.8508995703544575,0.8983993902439025,0.8711538461538462,0.947560975609756,0.3682166250073351,9.392827033996582,0.018462707987055182,8.264900207519531,0.00369525101268664,3.5265274047851562,0.3903745840070769,9.392827033996582,512,keras
2,embedding_centroid,0.845771144278607,0.77233696913437,0.8577743902439025,0.797675098223853,0.8577743902439023,0.0,0.0,0.00016900000628083944,0.7402725219726562,0.0016370420053135604,0.4299335479736328,0.0018060420115943998,0.7402725219726562,512,keras
3,embedding_lr,0.900497512437811,0.8362745098039216,0.8921493902439024,0.8590462833099579,0.9532012195121952,0.0,0.0,0.006532792001962662,2.020134925842285,0.00038649997441098094,0.7877235412597656,0.006919291976373643,2.020134925842285,512,keras
