seed,model,accuracy,precision_macro,recall_macro,f1_macro,auc,feature_prep_seconds,feature_prep_memory_mb,fit_seconds,fit_memory_mb,predict_seconds,predict_memory_mb,runtime_seconds,peak_python_memory_mb,embedding_dimension,dataset
0,baseline_nb_tfidf,0.8451327433628318,0.5375,0.5141781900927709,0.5089091699261191,0.5141781900927709,0.2789920420036651,18.597905158996582,0.28216704199439846,29.12493896484375,0.0028737079992424697,10.394765853881836,0.564032791997306,29.12493896484375,768,pytorch
1,baseline_nb_tfidf,0.8451327433628318,0.5642523364485981,0.5288814983371258,0.5305916562815263,0.5288814983371258,0.2926030410162639,18.589804649353027,0.2627085419953801,29.123767852783203,0.0027319999935571104,10.39480972290039,0.5580435830052011,29.123767852783203,768,pytorch
2,baseline_nb_tfidf,0.8584070796460177,0.5812133072407044,0.5217924032907404,0.5170940170940171,0.5217924032907404,0.3004504169803113,18.587885856628418,0.2295495000144001,29.1214017868042,0.0031651239842176437,10.39480972290039,0.533165040978929,29.1214017868042,768,pytorch
3,baseline_nb_tfidf,0.8362831858407079,0.545822102425876,0.5238053562051462,0.5245351680218343,0.5238053562051461,0.26832924998598173,18.580421447753906,0.2241717080178205,29.121572494506836,0.0030387089936994016,10.39480972290039,0.4955396669975016,29.121572494506836,768,pytorch
4,baseline_nb_tfidf,0.831858407079646,0.5135427952329361,0.5065639768948014,0.5012775842044135,0.5065639768948013,0.2934921670239419,18.59388256072998,0.29196779199992307,29.120990753173828,0.0028697920206468552,10.39480972290039,0.5883297510445118,29.120990753173828,768,pytorch
5,baseline_nb_tfidf,0.8672566371681416,0.6812006319115325,0.600385086644495,0.6223262032085561,0.600385086644495,0.2802357079926878,18.577695846557617,0.25134575000265613,29.12221336364746,0.0028354160021990538,10.39480972290039,0.534416873997543,29.12221336364746,768,pytorch
6,baseline_nb_tfidf,0.827433628318584,0.5318452380952381,0.5187292140731665,0.5187551187551188,0.5187292140731665,0.2702992090198677,18.59065818786621,0.24115975000313483,29.12236499786377,0.007923624012619257,10.39480972290039,0.5193825830356218,29.12236499786377,768,pytorch
7,baseline_nb_tfidf,0.8407079646017699,0.5281183932346724,0.511640119026781,0.5063106796116505,0.511640119026781,0.2891622080060188,18.5896053314209,0.2887581659888383,29.122042655944824,0.004106916981982067,10.39480972290039,0.5820272909768391,29.122042655944824,768,pytorch
8,baseline_nb_tfidf,0.8495575221238938,0.5488991295442909,0.5167162611587607,0.5115687770150013,0.5167162611587607,0.2878772499971092,18.593769073486328,0.26665025000693277,29.120923042297363,0.002911376010160893,10.39480972290039,0.5574388760142028,29.120923042297363,768,pytorch
9,baseline_nb_tfidf,0.8053097345132744,0.50801393728223,0.5060388587432172,0.505273631840796,0.5060388587432172,0.2790520410053432,18.59019947052002,0.2688766659994144,29.124250411987305,0.002816126012476161,10.39480972290039,0.5507448330172338,29.124250411987305,768,pytorch
10,baseline_nb_tfidf,0.8584070796460177,0.6359696641386783,0.5659023280238054,0.5800232288037166,0.5659023280238055,0.28025137502118014,18.59891414642334,0.24008837499422953,29.122458457946777,0.003420373977860436,10.39480972290039,0.5237601239932701,29.122458457946777,768,pytorch
11,baseline_nb_tfidf,0.827433628318584,0.5077493261455526,0.5040259058288115,0.4988343662932848,0.5040259058288115,0.28101866599172354,18.595102310180664,0.2480447089765221,29.123004913330078,0.0027308330172672868,10.39480972290039,0.5317942079855129,29.123004913330078,768,pytorch
12,baseline_nb_tfidf,0.8495575221238938,0.5758985200845665,0.5314195694031157,0.5337378640776699,0.5314195694031156,0.2893308330094442,18.59801483154297,0.23050958299427293,29.123339653015137,0.002693207992706448,10.39480972290039,0.5225336239964236,29.123339653015137,768,pytorch
13,baseline_nb_tfidf,0.8230088495575221,0.47273383893102205,0.48678452651846665,0.47502903600464574,0.4867845265184667,0.2844479999912437,18.583048820495605,0.23920183401787654,29.121862411499023,0.002774001011857763,10.39480972290039,0.526423835020978,29.121862411499023,768,pytorch
14,baseline_nb_tfidf,0.827433628318584,0.5077493261455526,0.5040259058288115,0.4988343662932848,0.5040259058288115,0.28045066600316204,18.58552646636963,0.2633304169867188,29.123262405395508,0.00310045899823308,10.39480972290039,0.5468815419881139,29.123262405395508,768,pytorch
15,baseline_nb_tfidf,0.8672566371681416,0.6646185355862775,0.5562751619114301,0.5690312738367658,0.5562751619114301,0.28616466699168086,18.593505859375,0.22792237499379553,29.122084617614746,0.0032592490024399012,10.39480972290039,0.5173462909879163,29.122084617614746,768,pytorch
16,baseline_nb_tfidf,0.8451327433628318,0.5642523364485981,0.5288814983371258,0.5305916562815263,0.5288814983371258,0.2904959160077851,18.59779453277588,0.25566029199399054,29.121875762939453,0.0029147909954190254,10.39480972290039,0.5490709989971947,29.121875762939453,768,pytorch
17,baseline_nb_tfidf,0.827433628318584,0.4762461059190031,0.4893225975844565,0.4769449884279865,0.4893225975844565,0.2920182089728769,18.583730697631836,0.23765304102562368,29.12264060974121,0.011963873985223472,10.39480972290039,0.541635123983724,29.12264060974121,768,pytorch
18,baseline_nb_tfidf,0.8362831858407079,0.545822102425876,0.5238053562051462,0.5245351680218343,0.5238053562051461,0.27390187498531304,18.582547187805176,0.2592968329845462,29.12271499633789,0.0027797489892691374,10.39480972290039,0.5359784569591284,29.12271499633789,768,pytorch
19,baseline_nb_tfidf,0.8451327433628318,0.5642523364485981,0.5288814983371258,0.5305916562815263,0.5288814983371258,0.28150787501363084,18.591116905212402,0.2390117500035558,29.122424125671387,0.0027263749798294157,10.39480972290039,0.523245999997016,29.122424125671387,768,pytorch
20,baseline_nb_tfidf,0.8584070796460177,0.6236786469344608,0.5511990197794504,0.5611650485436893,0.5511990197794504,0.2980865419958718,18.585613250732422,0.2509393749933224,29.122904777526855,0.00345970899797976,10.39480972290039,0.552485625987174,29.122904777526855,768,pytorch
21,baseline_nb_tfidf,0.8097345132743363,0.46458333333333335,0.4791703133204971,0.46939666939666935,0.47917031332049714,0.2814650410145987,18.603672981262207,0.23328054099692963,29.123268127441406,0.002856832987163216,10.39480972290039,0.5176024149986915,29.123268127441406,768,pytorch
22,baseline_nb_tfidf,0.827433628318584,0.5077493261455526,0.5040259058288115,0.4988343662932848,0.5040259058288115,0.2969031250104308,18.594358444213867,0.24304545900668018,29.12305450439453,0.010661459004040807,10.39480972290039,0.5506100430211518,29.12305450439453,768,pytorch
23,baseline_nb_tfidf,0.8495575221238938,0.5488991295442909,0.5167162611587607,0.5115687770150013,0.5167162611587607,0.25899112498154864,18.600539207458496,0.27312529101618566,29.120991706848145,0.0027693749871104956,10.39480972290039,0.5348857909848448,29.120991706848145,768,pytorch
