seed,model,accuracy,precision_macro,recall_macro,f1_macro,auc,feature_prep_seconds,feature_prep_memory_mb,fit_seconds,fit_memory_mb,predict_seconds,predict_memory_mb,runtime_seconds,peak_python_memory_mb,embedding_dimension,dataset
0,baseline_nb_tfidf,0.831858407079646,0.480338266384778,0.4918606686504463,0.4788834951456311,0.49186066865044636,0.27945912501309067,18.60163974761963,0.243661291024182,29.122689247131348,0.014663584006484598,10.39480972290039,0.5377840000437573,29.122689247131348,768,pytorch
1,baseline_nb_tfidf,0.8407079646017699,0.5740916271721959,0.541046735515491,0.5467914438502673,0.541046735515491,0.2995829170104116,18.593552589416504,0.24274054099805653,29.11948585510254,0.0027227499813307077,10.39480972290039,0.5450462079897989,29.11948585510254,768,pytorch
2,baseline_nb_tfidf,0.8539823008849557,0.5630733944954128,0.5192543322247506,0.5142950179094757,0.5192543322247506,0.28601399998296984,18.592215538024902,0.22938595799496397,29.12478542327881,0.0027444589941296726,10.39480972290039,0.5181444169720635,29.12478542327881,768,pytorch
3,baseline_nb_tfidf,0.8539823008849557,0.6082554517133957,0.5486609487134605,0.5574149902082962,0.5486609487134605,0.2626570829888806,18.58327865600586,0.2581863749946933,29.122522354125977,0.0032188339973799884,10.39480972290039,0.5240622919809539,29.122522354125977,768,pytorch
4,baseline_nb_tfidf,0.8185840707964602,0.5208333333333334,0.5136530719411868,0.5132125032834253,0.5136530719411868,0.2806763339904137,18.59752368927002,0.23413166700629517,29.12108325958252,0.002743916993495077,10.39480972290039,0.517551917990204,29.12108325958252,768,pytorch
5,baseline_nb_tfidf,0.8584070796460177,0.653250773993808,0.5953089445125153,0.6127650460484044,0.5953089445125154,0.29673287499463186,18.581195831298828,0.2515349999885075,29.1212797164917,0.002822416980052367,10.39480972290039,0.5510902919631917,29.1212797164917,768,pytorch
6,baseline_nb_tfidf,0.827433628318584,0.5318452380952381,0.5187292140731665,0.5187551187551188,0.5187292140731665,0.31321270900662057,18.594581604003906,0.24271583301015198,29.12308979034424,0.003102166985627264,10.39480972290039,0.5590307090023998,29.12308979034424,768,pytorch
7,baseline_nb_tfidf,0.8495575221238938,0.5758985200845665,0.5314195694031157,0.5337378640776699,0.5314195694031156,0.28511337499367073,18.592782974243164,0.23957754200091586,29.12409019470215,0.0027785419952124357,10.39480972290039,0.527469458989799,29.12409019470215,768,pytorch
8,baseline_nb_tfidf,0.8539823008849557,0.5898148148148148,0.5339576404691055,0.5369715030731981,0.5339576404691055,0.2729991670057643,18.597951889038086,0.27114891601377167,29.123910903930664,0.003069291968131438,10.394765853881836,0.5472173749876674,29.123910903930664,768,pytorch
9,baseline_nb_tfidf,0.8053097345132744,0.4874141876430206,0.49133555049886224,0.48721122112211224,0.4913355504988622,0.2669032079866156,18.594456672668457,0.24591704198974185,29.12493133544922,0.003099082998232916,10.39480972290039,0.5159193329745904,29.12493133544922,768,pytorch
