seed,model,accuracy,precision_macro,recall_macro,f1_macro,auc,feature_prep_seconds,feature_prep_memory_mb,fit_seconds,fit_memory_mb,predict_seconds,predict_memory_mb,runtime_seconds,peak_python_memory_mb,embedding_dimension,dataset
0,embedding_lr,0.8584070796460177,0.7309249454998443,0.889375109399615,0.7702376413775576,0.9284088920007001,0.0,0.0,0.0033994580153375864,2.251087188720703,0.0002836250059772283,0.8855705261230469,0.0036830830213148147,2.251087188720703,512,pytorch
0,hybrid_lr,0.8716814159292036,0.7359550561797753,0.8528793978645195,0.7730216450216449,0.9410117276387188,0.4094507920090109,8.600193977355957,0.01720291600213386,9.149314880371094,0.003648791986051947,3.9405593872070312,0.4303024999971967,9.149314880371094,512,pytorch
0,embedding_centroid,0.8053097345132744,0.6845958884821177,0.8442149483633818,0.7090355805243446,0.8442149483633816,0.0,0.0,0.0001703340094536543,0.9101943969726562,0.0016646670119371265,0.4791278839111328,0.0018350010213907808,0.9101943969726562,512,pytorch
1,embedding_lr,0.8761061946902655,0.7463305322128851,0.8848240854192193,0.7873655913978495,0.9410117276387187,0.0,0.0,0.003286332997959107,2.252333641052246,0.0002798329805955291,0.8855705261230469,0.0035661659785546362,2.252333641052246,512,pytorch
1,hybrid_lr,0.8805309734513275,0.7448801198801198,0.8432522317521443,0.7794484403802364,0.9441624365482233,0.35687362498720177,8.617209434509277,0.01467100001173094,9.180030822753906,0.005027542007155716,3.9135971069335938,0.3765721670060884,9.180030822753906,512,pytorch
1,embedding_centroid,0.8584070796460177,0.7309249454998443,0.889375109399615,0.7702376413775576,0.8893751093996148,0.0,0.0,0.00017204199684783816,0.9101943969726562,0.0016470410046167672,0.4787635803222656,0.0018190830014646053,0.9101943969726562,512,pytorch
2,embedding_lr,0.8672566371681416,0.727921074527517,0.8356380185541747,0.7627379619260919,0.9249081043234728,0.0,0.0,0.003962249989854172,2.25115966796875,0.0003320419928058982,0.8855705261230469,0.00429429198266007,2.25115966796875,512,pytorch
2,hybrid_lr,0.8893805309734514,0.7540935672514619,0.804218449151059,0.7753925660902405,0.9324347978295118,0.4030329579836689,9.935684204101562,0.016404249996412545,9.180946350097656,0.015419834002386779,3.9063644409179688,0.4348570419824682,9.935684204101562,512,pytorch
2,embedding_centroid,0.8407079646017699,0.699640091613044,0.8204095921582356,0.7318391562294002,0.8204095921582356,0.0,0.0,0.00017600000137463212,0.9101943969726562,0.0032950830063782632,0.47868919372558594,0.0034710830077528954,0.9101943969726562,512,pytorch
3,embedding_lr,0.8761061946902655,0.7516214779372674,0.9142307019079293,0.7952898550724637,0.967267635217924,0.0,0.0,0.003356375003932044,2.252377510070801,0.00028470801771618426,0.8855705261230469,0.003641083021648228,2.252377510070801,512,pytorch
3,hybrid_lr,0.9247787610619469,0.8159937888198758,0.9274461753894626,0.8579719788547558,0.9775949588657449,0.3685175410064403,10.042803764343262,0.01802620801026933,9.196144104003906,0.0036563339817803353,3.8901596069335938,0.39020008299848996,10.042803764343262,512,pytorch
3,embedding_centroid,0.8539823008849557,0.7268062397372742,0.886837038333625,0.7651393481341522,0.886837038333625,0.0,0.0,0.00017058299272321165,0.9101943969726562,0.0016270839842036366,0.4791717529296875,0.0017976669769268483,0.9101943969726562,512,pytorch
4,embedding_lr,0.8716814159292036,0.7470588235294118,0.9116926308419395,0.7899022279211412,0.9536145632767372,0.0,0.0,0.003573124995455146,2.252134323120117,0.00028633300098590553,0.8855705261230469,0.0038594579964410514,2.252134323120117,512,pytorch
4,hybrid_lr,0.9026548672566371,0.7806015960712094,0.9000525118151584,0.8222508222508222,0.9483633817608962,0.3828744589991402,8.577104568481445,0.015389540989417583,9.16485595703125,0.0036454590153880417,3.9315185546875,0.4019094590039458,9.16485595703125,512,pytorch
4,embedding_centroid,0.8451327433628318,0.7227576711250984,0.8964642044460004,0.7592158533986789,0.8964642044460004,0.0,0.0,0.00017300000763498247,0.9101943969726562,0.0016687509778421372,0.4789390563964844,0.0018417509854771197,0.9101943969726562,512,pytorch
5,embedding_lr,0.8761061946902655,0.7366882704282628,0.8260108524417994,0.7687134502923977,0.9315596009102047,0.0,0.0,0.0032851669820956886,2.251816749572754,0.00028670800384134054,0.8855705261230469,0.003571874985937029,2.251816749572754,512,pytorch
5,hybrid_lr,0.8982300884955752,0.7706801470588236,0.8092945912830387,0.787897335455176,0.9313845615263434,0.4033631669881288,10.138282775878906,0.017175958026200533,9.20166015625,0.0036957910051569343,3.8873443603515625,0.42423491601948626,10.138282775878906,512,pytorch
5,embedding_centroid,0.8628318584070797,0.7257954545454546,0.8478032557325399,0.7622425085689075,0.8478032557325398,0.0,0.0,0.00017029198352247477,0.9101943969726562,0.001641833019675687,0.4788646697998047,0.0018121250031981617,0.9101943969726562,512,pytorch
6,embedding_lr,0.915929203539823,0.802491601343785,0.8782601085244179,0.8335336305485559,0.9548398389637669,0.0,0.0,0.011553250020369887,2.2515296936035156,0.00042445899453014135,0.8855266571044922,0.011977709014900029,2.2515296936035156,512,pytorch
6,hybrid_lr,0.9247787610619469,0.8183090705487122,0.8980395589007526,0.8510564062802869,0.9565902328023805,0.3977829999930691,10.018718719482422,0.029248834005557,9.177467346191406,0.0035222499864175916,3.90826416015625,0.4305540839850437,10.018718719482422,512,pytorch
6,embedding_centroid,0.8805309734513275,0.7491807116104869,0.8726588482408542,0.7886753246753246,0.8726588482408542,0.0,0.0,0.00017179199494421482,0.9101943969726562,0.0016459590115118772,0.47864532470703125,0.001817751006456092,0.9101943969726562,512,pytorch
7,embedding_lr,0.8982300884955752,0.7731018981018981,0.8828111325048136,0.8121227455090902,0.9676177139856468,0.0,0.0,0.0039522500010207295,2.2524404525756836,0.00029541601543314755,0.8855266571044922,0.004247666016453877,2.2524404525756836,512,pytorch
7,hybrid_lr,0.9203539823008849,0.8110968110968111,0.8807981795904078,0.8403203014601979,0.9718186591983196,0.3617090829939116,9.41991138458252,0.03866258298512548,9.176528930664062,0.007145457988372073,3.918060302734375,0.40751712396740913,9.41991138458252,512,pytorch
7,embedding_centroid,0.8982300884955752,0.7756320224719101,0.9122177489935235,0.819982683982684,0.9122177489935235,0.0,0.0,0.00018083301256410778,0.9101943969726562,0.0037877090217079967,0.4790840148925781,0.0039685420342721045,0.9101943969726562,512,pytorch
8,embedding_lr,0.8451327433628318,0.707687338501292,0.8376509714685805,0.7417311522512815,0.9296341676877298,0.0,0.0,0.0037484999920707196,2.251603126525879,0.0003152090066578239,0.8855705261230469,0.0040637089987285435,2.251603126525879,512,pytorch
8,hybrid_lr,0.8805309734513275,0.7428830227743272,0.8285489235077892,0.7744260840634357,0.9408366882548573,0.3787012499815319,8.324836730957031,0.015673624991904944,9.162040710449219,0.003618250018917024,3.9422760009765625,0.39799312499235384,9.162040710449219,512,pytorch
8,embedding_centroid,0.8141592920353983,0.6861427597623917,0.8345877822510064,0.7134057971014492,0.8345877822510065,0.0,0.0,0.00016958400374278426,0.9101943969726562,0.0016364169714506716,0.4791278839111328,0.0018060009751934558,0.9101943969726562,512,pytorch
9,embedding_lr,0.8628318584070797,0.7320198105081825,0.8772098722212498,0.7712475919939923,0.9432872396289165,0.0,0.0,0.003024792007636279,2.2514562606811523,0.0002815409970935434,0.8855266571044922,0.0033063330047298223,2.2514562606811523,512,pytorch
9,hybrid_lr,0.8982300884955752,0.7721273291925466,0.8681078242604585,0.8078444419799637,0.9497636968317872,0.4084811670181807,10.041735649108887,0.016302375006489456,9.167762756347656,0.003778708982281387,3.9150848388671875,0.42856225100695156,10.041735649108887,512,pytorch
9,embedding_centroid,0.8230088495575221,0.6927968206656732,0.8396639243829862,0.7225291589932474,0.8396639243829862,0.0,0.0,0.00017537499661557376,0.9101943969726562,0.002614208002341911,0.4785575866699219,0.002789582998957485,0.9101943969726562,512,pytorch
10,embedding_lr,0.8672566371681416,0.7307736653983627,0.8503413267985296,0.76758535582065,0.9257833012427796,0.0,0.0,0.003896749985869974,2.2518415451049805,0.00028275002841837704,0.8855705261230469,0.004179500014288351,2.2518415451049805,512,pytorch
10,hybrid_lr,0.8849557522123894,0.7464607464607464,0.8016803780850692,0.7693515465536191,0.9280588132329775,0.40235870899050497,8.706059455871582,0.01834741697530262,9.154396057128906,0.003820416022790596,3.939208984375,0.4245265419885982,9.154396057128906,512,pytorch
10,embedding_centroid,0.831858407079646,0.7040238450074515,0.8594433747593209,0.736402701043585,0.8594433747593209,0.0,0.0,0.00017266700160689652,0.9101943969726562,0.001665707997744903,0.47882080078125,0.0018383749993517995,0.9101943969726562,512,pytorch
11,embedding_lr,0.9070796460176991,0.7879227053140097,0.9172938911255033,0.8321485411140583,0.9621914930859443,0.0,0.0,0.0037336669920478016,2.2516708374023438,0.00031174998730421066,0.8855705261230469,0.004045416979352012,2.2516708374023438,512,pytorch
11,hybrid_lr,0.911504424778761,0.7949377949377949,0.8610187292140732,0.8225781127335532,0.9625415718536672,0.3971375000255648,8.793039321899414,0.02079762498033233,9.170692443847656,0.004079542006365955,3.923736572265625,0.4220146670122631,9.170692443847656,512,pytorch
11,embedding_centroid,0.8893805309734514,0.7643181818181819,0.9071416068615439,0.8082600875555705,0.9071416068615438,0.0,0.0,0.0002632920222822577,0.9101943969726562,0.0017857500060927123,0.4785575866699219,0.00204904202837497,0.9101943969726562,512,pytorch
12,embedding_lr,0.8716814159292036,0.7307692307692308,0.8234727813758096,0.7631112878158095,0.9471381060738666,0.0,0.0,0.004149583022808656,2.251413345336914,0.00029587597236968577,0.8855705261230469,0.004445458995178342,2.251413345336914,512,pytorch
12,hybrid_lr,0.9070796460176991,0.7871345029239767,0.8437773499037283,0.8113297555158021,0.950638893751094,0.3986208330024965,9.914730072021484,0.021065125009045005,9.145973205566406,0.0037200830411165953,3.9322738647460938,0.4234060410526581,9.914730072021484,512,pytorch
12,embedding_centroid,0.8584070796460177,0.7275917065390749,0.8746718011552599,0.7660455486542443,0.8746718011552599,0.0,0.0,0.00016970900469459593,0.9101943969726562,0.0019747919868677855,0.4791278839111328,0.0021445009915623814,0.9101943969726562,512,pytorch
13,embedding_lr,0.8893805309734514,0.7575051759834368,0.848328373884124,0.7911352630216998,0.9338351129004026,0.0,0.0,0.003702375019202009,2.2522802352905273,0.0003172080032527447,0.8855705261230469,0.0040195830224547535,2.2522802352905273,512,pytorch
13,hybrid_lr,0.8938053097345132,0.7633347045111751,0.8361631367057587,0.7922794117647058,0.9317346402940663,0.4313225420191884,10.224252700805664,0.018823499995050952,9.196601867675781,0.004032124968944117,3.8873443603515625,0.4541781669831835,10.224252700805664,512,pytorch
13,embedding_centroid,0.8230088495575221,0.6884197706282351,0.8249606161386311,0.7177822177822177,0.8249606161386311,0.0,0.0,0.00016854199930094182,0.9101943969726562,0.0017658750002738088,0.4785575866699219,0.0019344169995747507,0.9101943969726562,512,pytorch
14,embedding_lr,0.9070796460176991,0.7865591397849463,0.8731839663924383,0.8204109433533886,0.9641169263084194,0.0,0.0,0.008163582999259233,2.2517776489257812,0.0002900840190704912,0.8855705261230469,0.008453667018329725,2.2517776489257812,512,pytorch
14,hybrid_lr,0.9380530973451328,0.850682995760716,0.8909504638543673,0.8691480562448304,0.960091020479608,0.3963224590115715,8.981014251708984,0.017447749996790662,9.184837341308594,0.0038650420028716326,3.9080123901367188,0.4176352510112338,9.184837341308594,512,pytorch
14,embedding_centroid,0.8893805309734514,0.758991008991009,0.8630316821284789,0.7957855929446633,0.8630316821284788,0.0,0.0,0.00018224999075755477,0.9101943969726562,0.0018943320028483868,0.4784698486328125,0.0020765819936059415,0.9101943969726562,512,pytorch
15,embedding_lr,0.8584070796460177,0.7275917065390749,0.8746718011552599,0.7660455486542443,0.9380360581130754,0.0,0.0,0.004542457987554371,2.2511157989501953,0.0003064159827772528,0.8855705261230469,0.004848873970331624,2.2511157989501953,512,pytorch
15,hybrid_lr,0.9070796460176991,0.7872127872127872,0.9025905828811482,0.8284598980735172,0.955890075266935,0.3817903749877587,9.665505409240723,0.04941620898898691,9.147369384765625,0.003682750975713134,3.9325027465820312,0.43488933495245874,9.665505409240723,512,pytorch
