seed,model,accuracy,precision_macro,recall_macro,f1_macro,auc,feature_prep_seconds,feature_prep_memory_mb,fit_seconds,fit_memory_mb,predict_seconds,predict_memory_mb,runtime_seconds,peak_python_memory_mb,embedding_dimension,dataset
0,embedding_lr,0.8539823008849557,0.7268062397372742,0.886837038333625,0.7651393481341522,0.931734640294066,0.0,0.0,0.013216124993050471,2.2517356872558594,0.0005705009680241346,0.8855705261230469,0.013786625961074606,2.2517356872558594,512,pytorch
0,hybrid_lr,0.8805309734513275,0.7491807116104869,0.8726588482408542,0.7886753246753246,0.9394363731839664,0.26550270899315365,7.013578414916992,0.02548070898046717,8.808052062988281,0.0037987499963492155,3.7806625366210938,0.29478216796997003,8.808052062988281,512,pytorch
0,embedding_centroid,0.8053097345132744,0.6892827471614511,0.8589182566077367,0.7133633114262654,0.8589182566077367,0.0,0.0,0.00016691701603122056,0.9101943969726562,0.0016348749923054129,0.4788646697998047,0.0018017920083366334,0.9101943969726562,512,pytorch
1,embedding_lr,0.8584070796460177,0.7210084033613445,0.84526518466655,0.7569892473118279,0.9319096796779275,0.0,0.0,0.003668165998533368,2.2519874572753906,0.00029991602059453726,0.8855705261230469,0.003968082019127905,2.2519874572753906,512,pytorch
1,hybrid_lr,0.8716814159292036,0.7282608695652174,0.8087694731314545,0.7577169051051718,0.9375109399614913,0.2861519580183085,6.97696590423584,0.01811154102324508,8.826225280761719,0.003664791031042114,3.7653274536132812,0.3079282900725957,8.826225280761719,512,pytorch
1,embedding_centroid,0.8097345132743363,0.6829668209876543,0.8320497111850166,0.7089286249138886,0.8320497111850166,0.0,0.0,0.00016870800754986703,0.9101943969726562,0.0017497919907327741,0.4789390563964844,0.0019184999982826412,0.9101943969726562,512,pytorch
2,embedding_lr,0.8716814159292036,0.7333333333333334,0.8381760896201645,0.7682051282051282,0.9289340101522843,0.0,0.0,0.00826241701724939,2.251572608947754,0.003348209022078663,0.8855705261230469,0.011610626039328054,2.251572608947754,512,pytorch
2,hybrid_lr,0.8938053097345132,0.7633347045111751,0.8361631367057587,0.7922794117647058,0.9334850341326799,0.27154237500508316,8.280264854431152,0.033046458003809676,8.822494506835938,0.0036226259835530072,3.76068115234375,0.30821145899244584,8.822494506835938,512,pytorch
2,embedding_centroid,0.8451327433628318,0.707687338501292,0.8376509714685805,0.7417311522512815,0.8376509714685804,0.0,0.0,0.00016733299707993865,0.9101943969726562,0.0017520840337965637,0.4791278839111328,0.0019194170308765024,0.9101943969726562,512,pytorch
3,embedding_lr,0.8761061946902655,0.7516214779372674,0.9142307019079293,0.7952898550724637,0.9646420444600035,0.0,0.0,0.011751667014323175,2.2526159286499023,0.00033729197457432747,0.8855705261230469,0.012088958988897502,2.2526159286499023,512,pytorch
3,hybrid_lr,0.911504424778761,0.7943233237350884,0.8757220374584281,0.8268995098039216,0.9705933835112901,0.25649558298755437,8.415075302124023,0.04392116700182669,8.838722229003906,0.008414041978539899,3.7443389892578125,0.30883079196792096,8.838722229003906,512,pytorch
3,embedding_centroid,0.831858407079646,0.7122790253225035,0.8888499912480308,0.7447997147272079,0.8888499912480309,0.0,0.0,0.0001723750028759241,0.9101943969726562,0.0016344989999197423,0.4787769317626953,0.0018068740027956665,0.9101943969726562,512,pytorch
4,embedding_lr,0.8716814159292036,0.7470588235294118,0.9116926308419395,0.7899022279211412,0.9469630666900053,0.0,0.0,0.003967833996284753,2.252255439758301,0.00033183401683345437,0.8855705261230469,0.0042996680131182075,2.252255439758301,512,pytorch
4,hybrid_lr,0.8982300884955752,0.7756320224719101,0.9122177489935235,0.819982683982684,0.9413618064064415,0.2781537499977276,6.991671562194824,0.02373937499942258,8.817596435546875,0.003637166984844953,3.772125244140625,0.3055302919819951,8.817596435546875,512,pytorch
4,embedding_centroid,0.8495575221238938,0.7264778936910085,0.8990022755119902,0.7641497851442602,0.8990022755119903,0.0,0.0,0.00017099999240599573,0.9101943969726562,0.0018950829980894923,0.47899627685546875,0.002066082990495488,0.9101943969726562,512,pytorch
5,embedding_lr,0.8761061946902655,0.7366882704282628,0.8260108524417994,0.7687134502923977,0.9298092070715911,0.0,0.0,0.004537749977316707,2.251704216003418,0.0003288759908173233,0.8855705261230469,0.004866625968134031,2.251704216003418,512,pytorch
