dataset,model,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,auc_mean,auc_std
caffe,baseline_nb_tfidf,0.89,0.02,0.746,0.124,0.597,0.058,0.623,0.073,0.597,0.058
caffe,tfidf_lr,0.909,0.027,0.802,0.076,0.741,0.072,0.758,0.061,0.886,0.048
caffe,embedding_lr,0.868,0.031,0.715,0.043,0.811,0.057,0.744,0.046,0.93,0.026
caffe,hybrid_lr,0.91,0.031,0.793,0.078,0.793,0.065,0.788,0.063,0.936,0.024
incubator-mxnet,baseline_nb_tfidf,0.852,0.017,0.559,0.123,0.512,0.024,0.503,0.037,0.512,0.024
incubator-mxnet,tfidf_lr,0.901,0.014,0.783,0.031,0.778,0.038,0.779,0.031,0.913,0.018
incubator-mxnet,embedding_lr,0.913,0.016,0.8,0.03,0.886,0.032,0.832,0.026,0.958,0.018
incubator-mxnet,hybrid_lr,0.926,0.014,0.831,0.034,0.864,0.04,0.844,0.03,0.959,0.013
keras,baseline_nb_tfidf,0.762,0.019,0.563,0.052,0.534,0.03,0.53,0.039,0.534,0.031
keras,tfidf_lr,0.871,0.023,0.803,0.036,0.809,0.037,0.805,0.034,0.914,0.021
keras,embedding_lr,0.889,0.019,0.822,0.025,0.881,0.025,0.845,0.025,0.948,0.014
keras,hybrid_lr,0.9,0.018,0.839,0.026,0.879,0.023,0.856,0.023,0.95,0.014
pytorch,baseline_nb_tfidf,0.852,0.013,0.577,0.071,0.529,0.027,0.529,0.039,0.529,0.027
pytorch,tfidf_lr,0.879,0.018,0.735,0.034,0.776,0.048,0.751,0.037,0.9,0.022
pytorch,embedding_lr,0.886,0.021,0.759,0.03,0.874,0.022,0.796,0.028,0.95,0.013
pytorch,hybrid_lr,0.905,0.016,0.786,0.029,0.859,0.033,0.814,0.027,0.949,0.014
tensorflow,baseline_nb_tfidf,0.748,0.018,0.62,0.025,0.646,0.035,0.628,0.027,0.645,0.036
tensorflow,tfidf_lr,0.878,0.02,0.797,0.026,0.857,0.027,0.82,0.026,0.934,0.016
tensorflow,embedding_lr,0.915,0.012,0.847,0.018,0.917,0.015,0.875,0.016,0.966,0.007
tensorflow,hybrid_lr,0.922,0.012,0.86,0.019,0.912,0.015,0.882,0.017,0.968,0.007
