dataset,model,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,auc_mean,auc_std
caffe,baseline_nb_tfidf,0.886,0.022,0.732,0.123,0.6,0.055,0.625,0.07,0.6,0.055
caffe,tfidf_lr,0.91,0.029,0.807,0.088,0.752,0.074,0.765,0.065,0.897,0.044
caffe,embedding_lr,0.873,0.03,0.722,0.045,0.817,0.055,0.752,0.047,0.932,0.027
caffe,hybrid_lr,0.914,0.027,0.802,0.07,0.798,0.053,0.795,0.053,0.941,0.024
incubator-mxnet,baseline_nb_tfidf,0.848,0.016,0.554,0.116,0.514,0.026,0.507,0.039,0.514,0.026
incubator-mxnet,tfidf_lr,0.903,0.015,0.786,0.034,0.783,0.04,0.783,0.033,0.917,0.018
incubator-mxnet,embedding_lr,0.915,0.014,0.804,0.027,0.888,0.031,0.836,0.024,0.957,0.018
incubator-mxnet,hybrid_lr,0.925,0.012,0.828,0.027,0.86,0.039,0.841,0.026,0.96,0.014
keras,baseline_nb_tfidf,0.754,0.017,0.54,0.049,0.524,0.031,0.518,0.04,0.524,0.031
keras,tfidf_lr,0.864,0.021,0.791,0.033,0.8,0.033,0.794,0.031,0.911,0.02
keras,embedding_lr,0.891,0.018,0.825,0.024,0.883,0.022,0.847,0.023,0.948,0.014
keras,hybrid_lr,0.899,0.017,0.838,0.026,0.88,0.025,0.855,0.023,0.949,0.014
pytorch,baseline_nb_tfidf,0.849,0.012,0.562,0.062,0.525,0.029,0.523,0.04,0.525,0.029
pytorch,tfidf_lr,0.881,0.019,0.739,0.035,0.78,0.047,0.755,0.038,0.907,0.021
pytorch,embedding_lr,0.885,0.022,0.757,0.029,0.873,0.023,0.794,0.029,0.949,0.013
pytorch,hybrid_lr,0.903,0.016,0.783,0.029,0.857,0.034,0.811,0.028,0.949,0.013
tensorflow,baseline_nb_tfidf,0.744,0.018,0.618,0.021,0.644,0.03,0.625,0.023,0.643,0.03
tensorflow,tfidf_lr,0.881,0.018,0.801,0.024,0.859,0.026,0.824,0.025,0.937,0.016
tensorflow,embedding_lr,0.917,0.012,0.85,0.018,0.918,0.015,0.877,0.016,0.965,0.007
tensorflow,hybrid_lr,0.923,0.012,0.861,0.019,0.915,0.016,0.883,0.017,0.968,0.007
