dataset,model,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,auc_mean,auc_std
caffe,baseline_nb_tfidf,0.88,0.019,0.696,0.108,0.589,0.052,0.608,0.064,0.589,0.052
caffe,tfidf_lr,0.905,0.022,0.818,0.103,0.679,0.066,0.713,0.068,0.875,0.054
caffe,embedding_lr,0.857,0.035,0.702,0.044,0.796,0.048,0.729,0.047,0.912,0.028
caffe,hybrid_lr,0.911,0.024,0.8,0.073,0.766,0.052,0.775,0.051,0.918,0.032
incubator-mxnet,baseline_nb_tfidf,0.835,0.015,0.536,0.058,0.517,0.028,0.514,0.037,0.517,0.028
incubator-mxnet,tfidf_lr,0.9,0.015,0.785,0.04,0.762,0.04,0.77,0.033,0.914,0.018
incubator-mxnet,embedding_lr,0.904,0.019,0.785,0.032,0.881,0.037,0.82,0.031,0.954,0.017
incubator-mxnet,hybrid_lr,0.918,0.018,0.815,0.04,0.848,0.046,0.828,0.037,0.953,0.016
keras,baseline_nb_tfidf,0.751,0.016,0.555,0.042,0.536,0.03,0.535,0.036,0.537,0.029
keras,tfidf_lr,0.87,0.023,0.8,0.035,0.804,0.038,0.801,0.035,0.913,0.02
keras,embedding_lr,0.864,0.02,0.792,0.021,0.867,0.021,0.817,0.022,0.939,0.013
keras,hybrid_lr,0.892,0.017,0.828,0.025,0.866,0.026,0.844,0.023,0.944,0.014
pytorch,baseline_nb_tfidf,0.839,0.018,0.546,0.058,0.519,0.028,0.518,0.036,0.519,0.028
pytorch,tfidf_lr,0.891,0.02,0.758,0.037,0.794,0.05,0.772,0.04,0.907,0.023
pytorch,embedding_lr,0.883,0.02,0.755,0.026,0.878,0.025,0.793,0.025,0.948,0.013
pytorch,hybrid_lr,0.901,0.016,0.778,0.028,0.851,0.039,0.805,0.028,0.947,0.014
tensorflow,baseline_nb_tfidf,0.729,0.02,0.599,0.022,0.622,0.028,0.605,0.024,0.621,0.028
tensorflow,tfidf_lr,0.878,0.018,0.796,0.023,0.854,0.024,0.819,0.023,0.93,0.014
tensorflow,embedding_lr,0.915,0.011,0.846,0.015,0.916,0.017,0.874,0.015,0.963,0.009
tensorflow,hybrid_lr,0.924,0.01,0.863,0.016,0.914,0.015,0.885,0.015,0.966,0.009
