dataset,model,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,auc_mean,auc_std
caffe,baseline_nb_tfidf,0.882,0.02,0.709,0.101,0.593,0.051,0.614,0.064,0.593,0.051
caffe,tfidf_lr,0.907,0.023,0.831,0.112,0.677,0.064,0.714,0.07,0.877,0.052
caffe,embedding_lr,0.853,0.036,0.696,0.041,0.795,0.051,0.724,0.047,0.912,0.029
caffe,hybrid_lr,0.913,0.027,0.81,0.084,0.769,0.057,0.781,0.059,0.918,0.032
incubator-mxnet,baseline_nb_tfidf,0.837,0.017,0.537,0.067,0.517,0.031,0.514,0.041,0.517,0.031
incubator-mxnet,tfidf_lr,0.898,0.016,0.781,0.041,0.761,0.036,0.768,0.031,0.915,0.019
incubator-mxnet,embedding_lr,0.902,0.018,0.783,0.03,0.879,0.038,0.817,0.029,0.953,0.017
incubator-mxnet,hybrid_lr,0.916,0.019,0.81,0.042,0.84,0.051,0.822,0.04,0.953,0.017
keras,baseline_nb_tfidf,0.753,0.017,0.56,0.044,0.54,0.032,0.539,0.038,0.54,0.032
keras,tfidf_lr,0.871,0.025,0.802,0.037,0.805,0.041,0.803,0.038,0.913,0.02
keras,embedding_lr,0.867,0.019,0.795,0.022,0.868,0.022,0.82,0.023,0.939,0.013
keras,hybrid_lr,0.893,0.017,0.83,0.025,0.866,0.026,0.845,0.024,0.944,0.013
pytorch,baseline_nb_tfidf,0.84,0.018,0.553,0.062,0.522,0.028,0.522,0.036,0.522,0.028
pytorch,tfidf_lr,0.89,0.019,0.755,0.037,0.79,0.051,0.769,0.04,0.907,0.023
pytorch,embedding_lr,0.883,0.02,0.755,0.027,0.879,0.025,0.794,0.026,0.948,0.013
pytorch,hybrid_lr,0.903,0.015,0.781,0.027,0.852,0.04,0.808,0.027,0.947,0.014
tensorflow,baseline_nb_tfidf,0.731,0.02,0.601,0.02,0.623,0.024,0.607,0.022,0.623,0.025
tensorflow,tfidf_lr,0.879,0.018,0.798,0.023,0.854,0.024,0.82,0.023,0.932,0.014
tensorflow,embedding_lr,0.917,0.01,0.85,0.014,0.919,0.015,0.877,0.014,0.963,0.009
tensorflow,hybrid_lr,0.923,0.011,0.86,0.016,0.914,0.016,0.883,0.015,0.967,0.009
