dataset,model,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,auc_mean,auc_std
caffe,baseline_nb_tfidf,0.873,0.018,0.663,0.08,0.584,0.045,0.599,0.055,0.584,0.045
caffe,tfidf_lr,0.903,0.026,0.806,0.111,0.692,0.071,0.719,0.073,0.889,0.052
caffe,embedding_lr,0.855,0.032,0.697,0.038,0.794,0.053,0.725,0.043,0.917,0.025
caffe,hybrid_lr,0.913,0.026,0.809,0.081,0.774,0.054,0.783,0.056,0.927,0.03
incubator-mxnet,baseline_nb_tfidf,0.836,0.017,0.54,0.068,0.52,0.033,0.518,0.044,0.52,0.033
incubator-mxnet,tfidf_lr,0.898,0.015,0.777,0.037,0.764,0.048,0.768,0.039,0.916,0.019
incubator-mxnet,embedding_lr,0.9,0.019,0.779,0.03,0.873,0.039,0.812,0.029,0.951,0.018
incubator-mxnet,hybrid_lr,0.916,0.017,0.81,0.038,0.84,0.048,0.822,0.037,0.952,0.017
keras,baseline_nb_tfidf,0.749,0.021,0.558,0.048,0.539,0.032,0.539,0.039,0.539,0.033
keras,tfidf_lr,0.863,0.025,0.789,0.037,0.801,0.038,0.794,0.036,0.911,0.02
keras,embedding_lr,0.866,0.019,0.794,0.021,0.866,0.02,0.818,0.022,0.938,0.013
keras,hybrid_lr,0.889,0.018,0.823,0.026,0.863,0.027,0.839,0.024,0.941,0.013
pytorch,baseline_nb_tfidf,0.834,0.015,0.542,0.051,0.521,0.025,0.521,0.033,0.521,0.025
pytorch,tfidf_lr,0.887,0.022,0.753,0.042,0.795,0.048,0.769,0.041,0.912,0.021
pytorch,embedding_lr,0.879,0.02,0.749,0.027,0.871,0.028,0.787,0.027,0.945,0.013
pytorch,hybrid_lr,0.902,0.016,0.78,0.03,0.847,0.036,0.806,0.028,0.947,0.013
tensorflow,baseline_nb_tfidf,0.724,0.02,0.597,0.023,0.622,0.031,0.603,0.025,0.622,0.031
tensorflow,tfidf_lr,0.879,0.018,0.798,0.024,0.856,0.025,0.821,0.024,0.934,0.014
tensorflow,embedding_lr,0.914,0.011,0.845,0.015,0.917,0.015,0.873,0.015,0.962,0.009
tensorflow,hybrid_lr,0.922,0.011,0.859,0.016,0.916,0.015,0.882,0.015,0.966,0.009
