model,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,auc_mean,auc_std,feature_prep_seconds_mean,feature_prep_seconds_std,feature_prep_memory_mb_mean,feature_prep_memory_mb_std,fit_seconds_mean,fit_seconds_std,fit_memory_mb_mean,fit_memory_mb_std,predict_seconds_mean,predict_seconds_std,predict_memory_mb_mean,predict_memory_mb_std,runtime_seconds_mean,runtime_seconds_std,peak_python_memory_mb_mean,peak_python_memory_mb_std,embedding_dimension,dataset
baseline_nb_tfidf,0.889535,0.019966,0.746309,0.123689,0.597368,0.058199,0.622752,0.073193,0.597368,0.058199,0.158212,0.015659,7.362122,0.006723,0.190087,0.013607,11.301049,0.012312,0.002508,0.002663,3.98505,0.0,0.350807,0.019467,11.301049,0.012312,768,caffe
tfidf_lr,0.908527,0.026923,0.802071,0.075562,0.741272,0.07214,0.757586,0.060853,0.885877,0.047722,0.157546,0.013736,4.062197,0.125022,0.004989,0.001353,0.965021,0.000461,0.000316,0.000438,0.003624,2.2e-05,0.162851,0.013874,4.062197,0.125022,768,caffe
embedding_lr,0.867829,0.030762,0.71496,0.042981,0.810877,0.056598,0.74404,0.046203,0.930482,0.02618,0.0,0.0,0.0,0.0,0.00564,0.00464,1.439804,0.00105,0.000489,0.000646,0.50559,5.3e-05,0.006129,0.004999,1.439804,0.00105,768,caffe
late_fusion_lr,0.902326,0.030628,0.773265,0.073299,0.791316,0.062753,0.776416,0.059447,0.936623,0.022474,0.157546,0.013736,4.062197,0.125022,0.010629,0.004957,1.439804,0.00105,0.000815,0.000767,0.50559,5.3e-05,0.16899,0.014346,4.062197,0.125022,768,caffe
hybrid_lr,0.910465,0.031164,0.793482,0.077588,0.793026,0.065375,0.788041,0.062652,0.936272,0.023693,0.157546,0.013736,4.062197,0.125022,0.013722,0.005851,5.05631,0.010705,0.003645,0.002547,2.152103,0.009275,0.174913,0.013253,5.05631,0.010705,768,caffe
embedding_centroid,0.824806,0.035471,0.676411,0.036265,0.81114,0.053498,0.704277,0.045715,0.81114,0.053498,0.0,0.0,0.0,0.0,0.000157,5.5e-05,0.535227,0.000178,0.001953,0.001029,0.286466,0.00021,0.00211,0.00108,0.535227,0.000178,768,caffe
embedding_knn,0.909302,0.023928,0.795326,0.077399,0.743158,0.052078,0.762587,0.055678,0.871557,0.057029,0.0,0.0,0.0,0.0,0.000581,0.000367,0.012757,0.000794,0.003978,0.001741,0.90908,0.000139,0.004559,0.002015,0.90908,0.000139,768,caffe
baseline_nb_tfidf,0.851613,0.016772,0.558983,0.122539,0.512315,0.024495,0.50268,0.036638,0.512315,0.024495,0.300519,0.01723,13.198776,0.007573,0.214763,0.017601,20.073264,0.001157,0.002695,0.001933,7.144142,1.3e-05,0.517977,0.024085,20.073264,0.001157,768,incubator-mxnet
tfidf_lr,0.90129,0.014089,0.783013,0.031205,0.777932,0.037846,0.778751,0.030734,0.912914,0.018417,0.2954,0.011178,7.999439,0.508787,0.00663,0.004247,0.970258,0.000343,0.000268,0.000206,0.005745,1.8e-05,0.302298,0.010976,7.999439,0.508787,768,incubator-mxnet
embedding_lr,0.912688,0.016403,0.799989,0.029901,0.885988,0.031598,0.83229,0.026334,0.958284,0.017591,0.0,0.0,0.0,0.0,0.004793,0.002751,2.387856,0.000422,0.000367,0.000245,0.910417,1.1e-05,0.00516,0.002903,2.387856,0.000422,768,incubator-mxnet
late_fusion_lr,0.924516,0.014291,0.826552,0.032788,0.865093,0.040811,0.842037,0.029217,0.959531,0.011859,0.2954,0.011178,7.999439,0.508787,0.011424,0.005494,2.387856,0.000422,0.000647,0.000319,0.910417,1.1e-05,0.307471,0.011971,7.999439,0.508787,768,incubator-mxnet
hybrid_lr,0.926022,0.014046,0.830791,0.033954,0.863827,0.040282,0.843862,0.029581,0.958938,0.013479,0.2954,0.011178,7.999439,0.508787,0.020427,0.00852,9.091837,0.019863,0.004782,0.002128,3.87617,0.01258,0.320609,0.012049,9.091837,0.019863,768,incubator-mxnet
embedding_centroid,0.895484,0.017477,0.772677,0.025212,0.887469,0.028438,0.811194,0.02503,0.887469,0.028438,0.0,0.0,0.0,0.0,0.000232,0.00021,0.942421,0.0,0.00233,0.001348,0.489245,0.000157,0.002562,0.001478,0.942421,0.0,768,incubator-mxnet
embedding_knn,0.907312,0.022316,0.799009,0.052531,0.799846,0.057817,0.795347,0.047943,0.939901,0.022771,0.0,0.0,0.0,0.0,0.000615,0.00053,0.020173,4.5e-05,0.004985,0.001655,1.730737,0.000155,0.0056,0.001762,1.730737,0.000155,768,incubator-mxnet
baseline_nb_tfidf,0.761526,0.018885,0.562532,0.052425,0.533963,0.03018,0.530107,0.039331,0.534256,0.030521,0.354014,0.016167,16.746298,0.008549,0.235673,0.014846,24.610359,0.001671,0.003344,0.001994,9.250208,8e-06,0.593031,0.015978,24.610359,0.001671,768,keras
tfidf_lr,0.871476,0.02252,0.802735,0.036241,0.808918,0.036788,0.804574,0.03381,0.913831,0.021273,0.356534,0.017995,9.000138,0.225468,0.00698,0.003759,0.973547,0.000398,0.000307,0.00023,0.00715,1.7e-05,0.363821,0.017784,9.000138,0.225468,768,keras
embedding_lr,0.889221,0.019155,0.822319,0.025118,0.880833,0.024998,0.844834,0.024813,0.947896,0.013662,0.0,0.0,0.0,0.0,0.004998,0.002591,3.012208,0.00037,0.000497,0.000388,1.180294,1.7e-05,0.005495,0.002824,3.012208,0.00037,768,keras
