model,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,auc_mean,auc_std,feature_prep_seconds_mean,feature_prep_seconds_std,feature_prep_memory_mb_mean,feature_prep_memory_mb_std,fit_seconds_mean,fit_seconds_std,fit_memory_mb_mean,fit_memory_mb_std,predict_seconds_mean,predict_seconds_std,predict_memory_mb_mean,predict_memory_mb_std,runtime_seconds_mean,runtime_seconds_std,peak_python_memory_mb_mean,peak_python_memory_mb_std,embedding_dimension,dataset
baseline_nb_tfidf,0.886047,0.022315,0.732297,0.122856,0.599737,0.055019,0.624979,0.069973,0.599737,0.055019,0.146819,0.008641,7.36233,0.004027,0.179014,0.01156,11.299652,0.010846,0.001689,0.00132,3.985049,8e-06,0.327522,0.010931,11.299652,0.010846,768,caffe
tfidf_lr,0.90969,0.029079,0.806856,0.087616,0.752061,0.074366,0.765381,0.065133,0.897061,0.044446,0.146116,0.011494,3.983957,0.123583,0.006107,0.004651,0.964881,0.000243,0.000362,0.000464,0.003633,2.1e-05,0.152585,0.013284,3.983957,0.123583,768,caffe
embedding_lr,0.872868,0.030219,0.722474,0.0451,0.816623,0.055417,0.751609,0.046632,0.932105,0.026872,0.0,0.0,0.0,0.0,0.004497,0.002248,1.438874,0.000259,0.000502,0.000681,0.505576,2.2e-05,0.004999,0.002474,1.438874,0.000259,768,caffe
late_fusion_lr,0.902326,0.029066,0.770378,0.06496,0.794211,0.061753,0.777151,0.057923,0.941009,0.023035,0.146116,0.011494,3.983957,0.123583,0.010604,0.004743,1.438874,0.000259,0.000876,0.000783,0.505576,2.2e-05,0.157595,0.012722,3.983957,0.123583,768,caffe
hybrid_lr,0.913953,0.027415,0.802213,0.06983,0.797895,0.05331,0.795038,0.053311,0.940702,0.023855,0.146116,0.011494,3.983957,0.123583,0.013413,0.006373,5.058128,0.010865,0.003031,0.001522,2.153307,0.008921,0.16256,0.008343,5.058128,0.010865,768,caffe
embedding_centroid,0.825969,0.036193,0.676984,0.037221,0.808904,0.052529,0.704668,0.046144,0.808904,0.052529,0.0,0.0,0.0,0.0,0.000254,0.000297,0.535194,0.0,0.002649,0.003726,0.286178,0.000169,0.002903,0.003867,0.535194,0.0,768,caffe
embedding_knn,0.909302,0.023135,0.809059,0.091129,0.728684,0.053421,0.753526,0.057303,0.861469,0.053986,0.0,0.0,0.0,0.0,0.000833,0.000968,0.012586,5.7e-05,0.004362,0.002984,0.908936,0.000118,0.005194,0.003405,0.908936,0.000118,768,caffe
baseline_nb_tfidf,0.847957,0.016134,0.553804,0.115787,0.514475,0.025996,0.50709,0.038823,0.514475,0.025996,0.302899,0.01632,13.199351,0.007544,0.214669,0.016287,20.070963,0.001569,0.003017,0.002057,7.144146,0.0,0.520585,0.018218,20.070963,0.001569,768,incubator-mxnet
tfidf_lr,0.902796,0.015336,0.786117,0.033844,0.783056,0.040163,0.782936,0.033147,0.917,0.017591,0.297051,0.011534,7.863476,0.506557,0.006977,0.004924,0.970069,0.000273,0.000282,0.000171,0.005749,1.3e-05,0.30431,0.012897,7.863476,0.506557,768,incubator-mxnet
embedding_lr,0.915269,0.014449,0.804073,0.027109,0.888179,0.031035,0.836131,0.023851,0.957383,0.018394,0.0,0.0,0.0,0.0,0.004812,0.003065,2.387481,0.000246,0.000363,0.000141,0.910405,2.1e-05,0.005175,0.003122,2.387481,0.000246,768,incubator-mxnet
