model,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,auc_mean,auc_std,feature_prep_seconds_mean,feature_prep_seconds_std,feature_prep_memory_mb_mean,feature_prep_memory_mb_std,fit_seconds_mean,fit_seconds_std,fit_memory_mb_mean,fit_memory_mb_std,predict_seconds_mean,predict_seconds_std,predict_memory_mb_mean,predict_memory_mb_std,runtime_seconds_mean,runtime_seconds_std,peak_python_memory_mb_mean,peak_python_memory_mb_std,embedding_dimension,dataset
baseline_nb_tfidf,0.879845,0.019393,0.695601,0.107558,0.588991,0.051766,0.607527,0.064301,0.588991,0.051766,0.104678,0.016122,7.337715,0.003099,0.180496,0.010584,11.297224,0.001689,0.001614,0.000879,3.98504,2.2e-05,0.286788,0.014207,11.297224,0.001689,768,caffe
tfidf_lr,0.905426,0.021964,0.817552,0.103051,0.678728,0.065583,0.712692,0.068443,0.875219,0.054008,0.099901,0.013053,3.197363,0.117045,0.005709,0.00433,0.965081,0.000213,0.000208,6.1e-05,0.003642,1.5e-05,0.105818,0.012154,3.197363,0.117045,768,caffe
embedding_lr,0.857364,0.035075,0.701668,0.043894,0.796272,0.048353,0.729114,0.046825,0.911623,0.028208,0.0,0.0,0.0,0.0,0.009319,0.006892,1.439458,0.000285,0.000939,0.001311,0.505589,1.7e-05,0.010258,0.007433,1.439458,0.000285,768,caffe
late_fusion_lr,0.903876,0.031281,0.781649,0.085935,0.769035,0.061202,0.768697,0.064728,0.916272,0.031599,0.099901,0.013053,3.197363,0.117045,0.015027,0.008135,1.439458,0.000285,0.001156,0.001318,0.505589,1.7e-05,0.116084,0.009295,3.197363,0.117045,768,caffe
hybrid_lr,0.910853,0.023522,0.799717,0.073087,0.765746,0.052336,0.775404,0.051192,0.917675,0.032036,0.099901,0.013053,3.197363,0.117045,0.017973,0.00671,4.919186,0.009192,0.002851,0.001454,2.093632,0.007906,0.120724,0.009877,4.919186,0.009192,768,caffe
embedding_centroid,0.812016,0.03716,0.658994,0.034858,0.777851,0.049843,0.681861,0.043734,0.777851,0.049843,0.0,0.0,0.0,0.0,0.000162,7.6e-05,0.535194,0.0,0.001804,0.000795,0.286529,0.000173,0.001966,0.000867,0.535194,0.0,768,caffe
embedding_knn,0.893023,0.021463,0.746581,0.061494,0.720921,0.059826,0.727807,0.051727,0.854803,0.046052,0.0,0.0,0.0,0.0,0.000472,9.5e-05,0.012609,4.5e-05,0.003287,0.000273,0.909102,0.000147,0.003758,0.00028,0.909102,0.000147,768,caffe
baseline_nb_tfidf,0.835054,0.015406,0.536294,0.058358,0.517006,0.028214,0.514363,0.037102,0.517006,0.028214,0.225155,0.017236,13.152782,0.005455,0.208081,0.013877,20.073039,0.001141,0.00292,0.002391,7.144139,1.7e-05,0.436157,0.018901,20.073039,0.001141,768,incubator-mxnet
tfidf_lr,0.900215,0.015034,0.784517,0.039528,0.762407,0.039538,0.770159,0.03275,0.913889,0.018394,0.218692,0.012784,6.665061,0.507562,0.005812,0.002392,0.970421,0.00037,0.000227,0.00011,0.005748,1.5e-05,0.224731,0.012702,6.665061,0.507562,768,incubator-mxnet
embedding_lr,0.904086,0.018693,0.785283,0.03162,0.881049,0.036649,0.819791,0.030678,0.954025,0.017487,0.0,0.0,0.0,0.0,0.004065,0.001116,2.388176,0.000337,0.000307,2.6e-05,0.910408,2.3e-05,0.004373,0.00113,2.388176,0.000337,768,incubator-mxnet
late_fusion_lr,0.915054,0.018949,0.8072,0.04051,0.851852,0.04112,0.825288,0.035811,0.952975,0.015828,0.218692,0.012784,6.665061,0.507562,0.009877,0.002638,2.388176,0.000337,0.000543,0.000107,0.910408,2.3e-05,0.229112,0.012757,6.665061,0.507562,768,incubator-mxnet
hybrid_lr,0.918495,0.017809,0.815067,0.040417,0.848148,0.045873,0.828383,0.036989,0.953074,0.016227,0.218692,0.012784,6.665061,0.507562,0.020228,0.009564,8.839008,0.014462,0.004783,0.003557,3.769453,0.008832,0.243702,0.013483,8.839008,0.014462,768,incubator-mxnet
embedding_centroid,0.882796,0.024025,0.753221,0.034496,0.859599,0.041964,0.788465,0.036973,0.859599,0.041964,0.0,0.0,0.0,0.0,0.000195,0.000101,0.942421,0.0,0.002002,0.001032,0.489253,0.00015,0.002197,0.001092,0.942421,0.0,768,incubator-mxnet
embedding_knn,0.904086,0.020312,0.791307,0.047931,0.789475,0.038115,0.788341,0.03827,0.914111,0.035458,0.0,0.0,0.0,0.0,0.000533,0.000184,0.020143,5.5e-05,0.005167,0.002613,1.730785,0.000113,0.005699,0.002718,1.730785,0.000113,768,incubator-mxnet
baseline_nb_tfidf,0.75058,0.0162,0.555154,0.042105,0.536159,0.029777,0.534761,0.035726,0.53688,0.029264,0.270074,0.024255,16.657116,0.00513,0.275406,0.019594,24.609809,0.001341,0.003648,0.001045,9.250201,1.8e-05,0.549128,0.040609,24.609809,0.001341,768,keras
tfidf_lr,0.869652,0.023203,0.799608,0.034801,0.803539,0.03825,0.800745,0.035153,0.91284,0.020356,0.28388,0.017582,7.175645,0.209933,0.00765,0.003484,0.973564,0.000374,0.000336,0.000252,0.007147,1.9e-05,0.291867,0.017728,7.175645,0.209933,768,keras
embedding_lr,0.864179,0.019561,0.792256,0.021411,0.867221,0.020949,0.817123,0.022463,0.938547,0.01296,0.0,0.0,0.0,0.0,0.006389,0.002929,3.012382,0.000344,0.000488,0.000139,1.180302,0.0,0.006877,0.002991,3.012382,0.000344,768,keras
late_fusion_lr,0.88806,0.017902,0.821999,0.024975,0.866801,0.025585,0.83984,0.023369,0.941463,0.014292,0.28388,0.017582,7.175645,0.209933,0.01404,0.004116,3.012382,0.000344,0.000842,0.000287,1.180302,0.0,0.298761,0.01693,7.175645,0.209933,768,keras
hybrid_lr,0.892206,0.017052,0.828212,0.024952,0.866382,0.025686,0.843884,0.023166,0.943598,0.013583,0.28388,0.017582,7.175645,0.209933,0.024596,0.004331,11.473592,0.011013,0.006631,0.002183,4.914755,0.010571,0.315107,0.017674,11.473592,0.011013,768,keras
embedding_centroid,0.839967,0.02016,0.766771,0.021678,0.850501,0.026598,0.790638,0.024084,0.850501,0.026598,0.0,0.0,0.0,0.0,0.000287,0.000236,1.109413,0.0,0.003009,0.001234,0.624395,0.000121,0.003295,0.001273,1.109413,0.0,768,keras
embedding_knn,0.855556,0.021881,0.779472,0.034221,0.787127,0.032313,0.781636,0.03043,0.885241,0.024636,0.0,0.0,0.0,0.0,0.00081,0.000617,0.025131,3e-05,0.007278,0.001139,2.320611,0.000183,0.008088,0.001282,2.320611,0.000183,768,keras
baseline_nb_tfidf,0.838791,0.017763,0.545672,0.057966,0.518872,0.027614,0.517543,0.035509,0.518872,0.027614,0.283039,0.011745,18.590599,0.006899,0.251863,0.018299,29.122371,0.001058,0.004162,0.002815,10.394808,8e-06,0.539063,0.019825,29.122371,0.001058,768,pytorch
tfidf_lr,0.890855,0.019559,0.75812,0.037221,0.793792,0.049838,0.772298,0.039958,0.907118,0.023045,0.280302,0.016531,7.772561,0.616259,0.00684,0.003701,0.97551,0.000295,0.000255,0.000141,0.007911,1.8e-05,0.287397,0.018374,7.772561,0.616259,768,pytorch
embedding_lr,0.882596,0.019608,0.755114,0.025896,0.877764,0.025302,0.793223,0.025488,0.947914,0.012628,0.0,0.0,0.0,0.0,0.005495,0.003663,3.360059,0.00042,0.000575,0.00094,1.326977,0.0,0.006071,0.003819,3.360059,0.00042,768,pytorch
late_fusion_lr,0.893068,0.016962,0.766328,0.026375,0.856325,0.034563,0.798199,0.025649,0.946006,0.014597,0.280302,0.016531,7.772561,0.616259,0.012335,0.004843,3.360059,0.00042,0.000839,0.000942,1.326977,0.0,0.293476,0.016992,7.772561,0.616259,768,pytorch
hybrid_lr,0.900737,0.015834,0.777753,0.028043,0.850922,0.038889,0.805473,0.028129,0.946852,0.014106,0.280302,0.016531,7.772561,0.616259,0.028429,0.008812,12.913174,0.013147,0.006461,0.002494,5.526209,0.013819,0.315191,0.015817,12.913174,0.013147,768,pytorch
embedding_centroid,0.8559,0.026001,0.725124,0.028586,0.860491,0.028204,0.760407,0.03191,0.860491,0.028204,0.0,0.0,0.0,0.0,0.000212,4.4e-05,1.364296,0.0,0.002602,0.002248,0.697746,0.000222,0.002813,0.002245,1.364296,0.0,768,pytorch
embedding_knn,0.899705,0.018422,0.778537,0.042603,0.794457,0.041272,0.783777,0.036059,0.913014,0.024515,0.0,0.0,0.0,0.0,0.000576,0.000249,0.027868,6.6e-05,0.006546,0.003295,2.662137,0.000121,0.007122,0.003305,2.662137,0.000121,768,pytorch
baseline_nb_tfidf,0.729381,0.020288,0.599039,0.021751,0.621711,0.028077,0.604839,0.023757,0.620972,0.027668,0.862409,0.030374,36.706096,0.012586,0.369568,0.024109,55.22016,0.001221,0.006573,0.002771,20.513069,1.3e-05,1.238549,0.048114,55.22016,0.001221,768,tensorflow
tfidf_lr,0.877554,0.017673,0.796183,0.0234,0.85385,0.023884,0.818525,0.02332,0.93,0.013924,0.837816,0.018555,19.918099,0.455794,0.008123,0.003819,0.991928,0.000359,0.000308,0.00011,0.014654,1.9e-05,0.846247,0.019724,19.918099,0.455794,768,tensorflow
embedding_lr,0.914765,0.010743,0.846225,0.01511,0.915648,0.017175,0.873761,0.015215,0.963115,0.009329,0.0,0.0,0.0,0.0,0.007556,0.005614,6.405749,0.000549,0.000852,0.00149,2.62358,1.3e-05,0.008408,0.006451,6.405749,0.000549,768,tensorflow
late_fusion_lr,0.916107,0.012801,0.849858,0.018964,0.90824,0.018748,0.873799,0.017947,0.962894,0.009214,0.837816,0.018555,19.918099,0.455794,0.015679,0.006634,6.405749,0.000549,0.001171,0.001482,2.62358,1.3e-05,0.854666,0.02082,19.918099,0.455794,768,tensorflow
hybrid_lr,0.924236,0.010456,0.86266,0.016368,0.914312,0.015246,0.884579,0.01479,0.965963,0.008946,0.837816,0.018555,19.918099,0.455794,0.052526,0.012878,26.448106,0.031935,0.011432,0.005109,11.316656,0.024393,0.901774,0.021146,26.448106,0.031935,768,tensorflow
embedding_centroid,0.891201,0.014658,0.814294,0.019557,0.87857,0.022301,0.839284,0.02019,0.87857,0.022301,0.0,0.0,0.0,0.0,0.000318,0.000129,2.501015,0.0,0.002906,0.001473,1.346792,0.000245,0.003224,0.001523,2.501015,0.0,768,tensorflow
embedding_knn,0.892617,0.013124,0.817006,0.018843,0.8738,0.015102,0.839622,0.0167,0.934253,0.011271,0.0,0.0,0.0,0.0,0.000624,0.000296,0.052008,6.7e-05,0.014925,0.005934,6.149336,0.000143,0.01555,0.005941,6.149336,0.000143,768,tensorflow
