model,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,auc_mean,auc_std,feature_prep_seconds_mean,feature_prep_seconds_std,feature_prep_memory_mb_mean,feature_prep_memory_mb_std,fit_seconds_mean,fit_seconds_std,fit_memory_mb_mean,fit_memory_mb_std,predict_seconds_mean,predict_seconds_std,predict_memory_mb_mean,predict_memory_mb_std,runtime_seconds_mean,runtime_seconds_std,peak_python_memory_mb_mean,peak_python_memory_mb_std,embedding_dimension,dataset
baseline_nb_tfidf,0.882171,0.020424,0.7091,0.100667,0.593202,0.050994,0.614342,0.063988,0.593202,0.050994,0.106044,0.013433,7.3385,0.003104,0.180427,0.014918,11.297527,0.001199,0.001446,0.000484,3.985047,1.1e-05,0.287917,0.016977,11.297527,0.001199,768,caffe
tfidf_lr,0.906977,0.022851,0.830818,0.112337,0.676711,0.064382,0.713736,0.069674,0.876667,0.0521,0.115389,0.013624,3.236296,0.117414,0.005077,0.001864,0.965154,0.000317,0.000221,8.1e-05,0.00364,1.7e-05,0.120688,0.013577,3.236296,0.117414,768,caffe
embedding_lr,0.852713,0.035524,0.695734,0.041453,0.795088,0.051485,0.723911,0.047471,0.912105,0.02901,0.0,0.0,0.0,0.0,0.005989,0.007781,1.439392,0.000354,0.000379,0.000261,0.505593,1.1e-05,0.006368,0.007983,1.439392,0.000354,768,caffe
late_fusion_lr,0.906589,0.029839,0.788309,0.084688,0.774912,0.062848,0.774405,0.063574,0.917456,0.031816,0.115389,0.013624,3.236296,0.117414,0.011066,0.008173,1.439392,0.000354,0.000612,0.000278,0.505593,1.1e-05,0.127067,0.01335,3.236296,0.117414,768,caffe
hybrid_lr,0.913178,0.027267,0.810342,0.084387,0.768509,0.05655,0.780638,0.058531,0.918158,0.03222,0.115389,0.013624,3.236296,0.117414,0.014765,0.010494,4.924643,0.009082,0.002799,0.001025,2.096101,0.007986,0.132953,0.011997,4.924643,0.009082,768,caffe
embedding_centroid,0.810078,0.036813,0.658264,0.034174,0.779649,0.049062,0.680974,0.043323,0.779649,0.049062,0.0,0.0,0.0,0.0,0.000154,2.8e-05,0.535194,0.0,0.001961,0.001056,0.286575,0.000121,0.002115,0.00106,0.535194,0.0,768,caffe
embedding_knn,0.892636,0.029556,0.751202,0.076377,0.735175,0.07008,0.735848,0.063922,0.86636,0.04974,0.0,0.0,0.0,0.0,0.000597,0.000842,0.012613,4.7e-05,0.003326,0.0003,0.909052,0.000133,0.003923,0.000963,0.909052,0.000133,768,caffe
baseline_nb_tfidf,0.836559,0.017223,0.537401,0.066654,0.51716,0.031022,0.514088,0.041001,0.51716,0.031022,0.236797,0.018138,13.154252,0.005612,0.220269,0.02719,20.072461,0.001281,0.003144,0.003002,7.14414,1.9e-05,0.460211,0.033419,20.072461,0.001281,768,incubator-mxnet
tfidf_lr,0.898495,0.015614,0.780947,0.041306,0.76071,0.036176,0.767568,0.031425,0.914877,0.018987,0.246757,0.02605,6.726855,0.507833,0.007217,0.004317,0.97042,0.00038,0.000338,0.000325,0.005743,2.3e-05,0.254311,0.026288,6.726855,0.507833,768,incubator-mxnet
embedding_lr,0.902366,0.017989,0.782641,0.029881,0.878642,0.03848,0.81676,0.029227,0.952852,0.017456,0.0,0.0,0.0,0.0,0.005442,0.005229,2.387908,0.000413,0.000478,0.000422,0.910412,1.7e-05,0.00592,0.005242,2.387908,0.000413,768,incubator-mxnet
