model,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,auc_mean,auc_std,feature_prep_seconds_mean,feature_prep_seconds_std,feature_prep_memory_mb_mean,feature_prep_memory_mb_std,fit_seconds_mean,fit_seconds_std,fit_memory_mb_mean,fit_memory_mb_std,predict_seconds_mean,predict_seconds_std,predict_memory_mb_mean,predict_memory_mb_std,runtime_seconds_mean,runtime_seconds_std,peak_python_memory_mb_mean,peak_python_memory_mb_std,embedding_dimension,dataset
baseline_nb_tfidf,0.873256,0.018411,0.663204,0.080268,0.583816,0.044534,0.598989,0.054558,0.583816,0.044534,0.109459,0.017364,7.338951,0.003108,0.178064,0.012804,11.296185,0.001226,0.001552,0.000803,3.985046,1.3e-05,0.289075,0.022052,11.296185,0.001226,768,caffe
tfidf_lr,0.903101,0.025609,0.805617,0.111329,0.691886,0.071221,0.719422,0.073361,0.888947,0.051839,0.105864,0.013054,3.18498,0.116465,0.005585,0.002615,0.964991,0.000328,0.00021,6.1e-05,0.003639,1.8e-05,0.111658,0.011889,3.18498,0.116465,768,caffe
embedding_lr,0.855039,0.032133,0.696848,0.037873,0.793509,0.052534,0.724836,0.043352,0.917325,0.025082,0.0,0.0,0.0,0.0,0.004396,0.002429,1.439281,0.000323,0.000371,0.0005,0.505589,1.7e-05,0.004767,0.002743,1.439281,0.000323,768,caffe
late_fusion_lr,0.905039,0.022868,0.781871,0.064393,0.77114,0.053727,0.769535,0.048282,0.924956,0.027964,0.105864,0.013054,3.18498,0.116465,0.009981,0.003266,1.439281,0.000323,0.000591,0.000497,0.505589,1.7e-05,0.116436,0.012163,3.18498,0.116465,768,caffe
hybrid_lr,0.913178,0.026221,0.809486,0.081307,0.774298,0.054216,0.783212,0.055855,0.926798,0.029926,0.105864,0.013054,3.18498,0.116465,0.013417,0.005915,4.925936,0.008963,0.003348,0.001795,2.096563,0.007854,0.122628,0.012045,4.925936,0.008963,768,caffe
embedding_centroid,0.813178,0.041075,0.661444,0.0388,0.781404,0.054465,0.684545,0.048956,0.781404,0.054465,0.0,0.0,0.0,0.0,0.000169,0.000103,0.535194,0.0,0.002469,0.002439,0.286385,0.000256,0.002638,0.002501,0.535194,0.0,768,caffe
embedding_knn,0.883721,0.029448,0.727787,0.068273,0.712763,0.066608,0.713252,0.059892,0.856535,0.049633,0.0,0.0,0.0,0.0,0.000589,0.000638,0.012562,7.4e-05,0.003902,0.001422,0.909008,0.000165,0.004491,0.001544,0.909008,0.000165,768,caffe
baseline_nb_tfidf,0.835699,0.017422,0.539772,0.067928,0.520216,0.033475,0.518081,0.044075,0.520117,0.033292,0.22783,0.019989,13.155058,0.005543,0.20793,0.012442,20.071701,0.001651,0.002564,0.001531,7.144143,1.1e-05,0.438324,0.018305,20.071701,0.001651,768,incubator-mxnet
tfidf_lr,0.898495,0.014764,0.777494,0.037331,0.764259,0.048141,0.768069,0.039133,0.916037,0.018859,0.21865,0.014164,6.640652,0.507241,0.007227,0.005136,0.970273,0.000442,0.000284,0.00028,0.005746,2.1e-05,0.22616,0.015005,6.640652,0.507241,768,incubator-mxnet
embedding_lr,0.9,0.018771,0.779117,0.029562,0.873025,0.039129,0.812227,0.028929,0.951,0.017982,0.0,0.0,0.0,0.0,0.004756,0.001978,2.387757,0.000367,0.000345,0.000146,0.910415,1.3e-05,0.005101,0.00205,2.387757,0.000367,768,incubator-mxnet
late_fusion_lr,0.913548,0.017656,0.804308,0.036731,0.842469,0.046629,0.819602,0.03605,0.951444,0.016144,0.21865,0.014164,6.640652,0.507241,0.011983,0.00499,2.387757,0.000367,0.00064,0.000308,0.910415,1.3e-05,0.231273,0.014971,6.640652,0.507241,768,incubator-mxnet
hybrid_lr,0.915914,0.017318,0.809804,0.038222,0.840278,0.047605,0.822012,0.037165,0.951543,0.016981,0.21865,0.014164,6.640652,0.507241,0.020183,0.009635,8.849742,0.014537,0.005279,0.004014,3.773757,0.008844,0.244111,0.014931,8.849742,0.014537,768,incubator-mxnet
embedding_centroid,0.875054,0.025101,0.743311,0.034136,0.851605,0.038626,0.777686,0.035902,0.851605,0.038626,0.0,0.0,0.0,0.0,0.000391,0.000992,0.942421,0.0,0.002052,0.000965,0.489078,0.000215,0.002443,0.001847,0.942421,0.0,768,incubator-mxnet
embedding_knn,0.90043,0.019145,0.781916,0.041606,0.792346,0.038586,0.784629,0.0352,0.910235,0.030588,0.0,0.0,0.0,0.0,0.000731,0.000935,0.020132,5.8e-05,0.005415,0.004141,1.730676,0.000165,0.006146,0.005022,1.730676,0.000165,768,incubator-mxnet
baseline_nb_tfidf,0.748756,0.021259,0.557839,0.047699,0.538641,0.032422,0.538927,0.038826,0.538996,0.032852,0.242928,0.022725,16.661024,0.005092,0.240911,0.017578,24.609156,0.00121,0.003361,0.00236,9.250207,1.1e-05,0.4872,0.019172,24.609156,0.00121,768,keras
tfidf_lr,0.862687,0.025118,0.788691,0.036628,0.800978,0.038039,0.793584,0.036088,0.910965,0.019538,0.239906,0.014274,7.106789,0.207793,0.006555,0.004255,0.973357,0.000338,0.000262,0.000135,0.00715,1.7e-05,0.246723,0.014249,7.106789,0.207793,768,keras
embedding_lr,0.866003,0.01893,0.794175,0.021411,0.865948,0.020242,0.818457,0.021689,0.937541,0.013174,0.0,0.0,0.0,0.0,0.00445,0.002721,3.01211,0.000384,0.000349,0.000104,1.180296,1.5e-05,0.004799,0.002796,3.01211,0.000384,768,keras
late_fusion_lr,0.883416,0.017318,0.8151,0.023851,0.86328,0.025451,0.834186,0.02309,0.939527,0.014378,0.239906,0.014274,7.106789,0.207793,0.011005,0.00464,3.01211,0.000384,0.00062,0.000168,1.180296,1.5e-05,0.251532,0.014403,7.106789,0.207793,768,keras
